page|55
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||78,060,939.63|1,246,321,790.89
收到的税费返还||135,096.49|5,359,055.33
收到其他与经营活动有关的现金||67,793,505.87|79,431,347.69
经营活动现金流入小计||145,989,541.99|1,331,112,193.91
购买商品、接受劳务支付的现金||59,037,449.67|912,117,879.44
支付给职工及为职工支付的现金||90,995,834.76|130,008,777.63
支付的各项税费||8,960,617.87|40,877,227.84
支付其他与经营活动有关的现金||22,539,745.64|60,103,644.73
经营活动现金流出小计||181,533,647.94|1,143,107,529.64
经营活动产生的现金流量净额||-35,544,105.95|188,004,664.27
二、投资活动产生的现金流量：|||
收回投资收到的现金||682,481,191.23|14,000,000.00
取得投资收益收到的现金||1,166,408.16|
处置固定资产、无形资产和其他长期资产收回的现金净额||441,782,577.70|160,000,000.00
收到其他与投资活动有关的现金||35,980,013.80|670,000.00
投资活动现金流入小计||1,161,410,190.89|174,670,000.00
购建固定资产、无形资产和其他长期资产支付的现金||303,435,622.41|3,708,198.68
投资支付的现金||680,490,000.00|15,980,000.00
支付其他与投资活动有关的现金||290,583,144.15|
投资活动现金流出小计||1,274,508,766.56|19,688,198.68
投资活动产生的现金流量净额||-113,098,575.67|154,981,801.32
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
取得借款收到的现金||357,542,500.00|733,650,000.00
收到其他与筹资活动有关的现金||9,095,388.17|414,336,667.40
筹资活动现金流入小计||366,637,888.17|1,147,986,667.40
偿还债务支付的现金||391,100,000.00|819,623,515.02
分配股利、利润或偿付利息支付的现金||41,694,718.19|50,445,506.78
支付其他与筹资活动有关的现金||10,328,539.34|412,593,038.88
筹资活动现金流出小计||443,123,257.53|1,282,662,060.68
筹资活动产生的现金流量净额||-76,485,369.36|-134,675,393.28
四、汇率变动对现金及现金等价物的影响||-1,137,252.03|-542,515.84
五、现金及现金等价物净增加额||-226,265,303.01|207,768,556.47
加：期初现金及现金等价物余额||235,383,590.35|27,615,033.88
六、期末现金及现金等价物余额||9,118,287.34|235,383,590.35
