page|150
上海复星医药(集团)股份有限公司|||
合并利润表|||
2019年度|||人民币元
|附注五|2019年|2018年
营业收入|44|28,585,152,033.18|24,918,273,561.40
减： 营业成本|44|11,543,421,122.03|10,365,308,680.07
税金及附加|45|259,836,055.94|255,840,179.75
销售费用|46|9,846,758,447.35|8,487,532,676.81
管理费用|47|2,590,781,456.11|2,239,437,304.20
研发费用|48|2,041,400,644.28|1,479,612,337.67
财务费用|49|865,438,758.32|724,192,248.64
其中：利息费用||1,074,690,357.22|929,657,931.27
利息收入||186,647,728.71|145,738,019.10
加： 其他收益|50|313,051,541.18|276,714,129.13
投资收益|51|3,565,495,343.63|1,815,454,146.31
其中：对联营企业和合营企业的|||
投资收益||1,431,414,635.54|1,348,996,307.36
公允价值变动(损失)/收益|52|(353,158,992.47)|204,361,651.43
资产减值损失|53|(389,967,132.54)|(97,190,308.24)
信用减值损失|54|(97,113,773.87)|(27,161,943.43)
资产处置收益/(损失)|55|17,732,540.32|(2,994,058.54)
营业利润||4,493,555,075.40|3,535,533,750.92
加： 营业外收入|56|77,382,348.27|82,860,089.98
减： 营业外支出|57|45,184,789.31|38,801,047.90
利润总额||4,525,752,634.36|3,579,592,793.00
减： 所得税费用|59|782,231,353.40|559,710,659.32
净利润||3,743,521,280.96|3,019,882,133.68
按经营持续性分类|||
持续经营净利润||3,743,521,280.96|3,019,882,133.68
按所有权归属分类|||
归属于母公司股东的净利润||3,321,617,566.05|2,707,923,418.34
少数股东损益||421,903,714.91|311,958,715.34
