page|101
项目|附注七|2020 年度|2019 年度
一、营业总收入||10,033,351,988.04|12,365,449,499.83
其中：营业收入|（六十一）|10,033,351,988.04|12,365,449,499.83
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||8,895,693,918.65|11,345,352,133.31
其中：营业成本|（六十一）|6,601,115,076.80|9,447,843,082.44
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|319,352,198.50|75,187,051.04
销售费用|（六十三）|811,175,956.31|769,590,526.31
管理费用|（六十四）|983,080,036.17|913,304,300.29
研发费用|（六十五）|286,380,117.65|225,708,491.39
财务费用|（六十六）|-105,409,466.78|-86,281,318.16
其中：利息费用||41,938,418.90|67,445,973.21
利息收入||198,810,193.94|175,545,623.66
加：其他收益|（六十七）|198,907,253.53|168,765,978.86
|投资收益（损失以“－”号填列）  （六十八）|830,575,624.46|2,183,953,930.35
其中：对联营企业和合营企业的投资收益||245,784,267.71|539,290,761.22
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”|（六十九）||
page|102
号填列）|||
公允价值变动收益（损失以“－”号填列）|（七十）|-111,725,311.35|25,045,550.87
信用减值损失（损失以“-”号填列）|（七十一）|32,049,200.32|-165,550,704.66
资产减值损失（损失以“-”号填列）|（七十二）|-88,593,768.56|-627,176,862.51
资产处置收益（损失以“－”号填列）|（七十三）|41,076,254.92|2,300,738.77
三、营业利润（亏损以“－”号填列）||2,039,947,322.71|2,607,435,998.20
加：营业外收入|（七十四）|61,551,075.02|10,799,782.61
减：营业外支出|（七十五）|122,010,480.04|50,588,708.58
四、利润总额（亏损总额以“－”号填列）||1,979,487,917.69|2,567,647,072.23
减：所得税费用|（七十六）|418,368,596.70|362,388,695.57
五、净利润（净亏损以“－”号填列）||1,561,119,320.99|2,205,258,376.66
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,561,119,320.99|2,205,258,376.66
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,620,961,828.22|2,019,825,777.73
2.少数股东损益（净亏损以“-”号填列）||-59,842,507.23|185,432,598.93
六、其他综合收益的税后净额|（七十七）|-89,415,062.23|-95,147,080.26
（一）归属母公司所有者的其他综合收益的税后净额||-89,408,307.53|-95,139,972.67
1．不能重分类进损益的其他综合收益||-82,007,244.23|-88,684,782.73
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-82,007,244.23|-88,684,782.73
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-7,401,063.30|-6,455,189.94
（1）权益法下可转损益的其他综合收益||-8,263,698.98|-9,598,921.47
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||862,635.68|3,143,731.53
（7）其他|||
page|103
（二）归属于少数股东的其他综合收益的税后净额||-6,754.70|-7,107.59
七、综合收益总额||1,471,704,258.76|2,110,111,296.40
（一）归属于母公司所有者的综合收益总额||1,531,553,520.69|1,924,685,805.06
（二）归属于少数股东的综合收益总额||-59,849,261.93|185,425,491.34
八、每股收益：|||
（一）基本每股收益(元/股)||0.4747|0.5915
（二）稀释每股收益(元/股)||0.4747|0.5915
