page|104
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||14,472,515,188.82|15,156,428,276.76
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||47,147,723.71|77,295,687.98
收到其他与经营活动有关的现金|（七十八）|1,319,130,418.45|1,143,732,249.32
经营活动现金流入小计||15,838,793,330.98|16,377,456,214.06
购买商品、接受劳务支付的现金||7,652,731,889.05|9,283,312,205.89
客户贷款及垫款净增加额|||
page|105
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,927,521,312.74|1,624,621,945.73
支付的各项税费||1,056,103,298.94|1,097,746,994.32
支付其他与经营活动有关的现金|（七十八）|1,593,195,928.58|1,605,052,356.71
经营活动现金流出小计||12,229,552,429.31|13,610,733,502.65
经营活动产生的现金流量净额||3,609,240,901.67|2,766,722,711.41
二、投资活动产生的现金流量：|||
收回投资收到的现金||828,009,886.72|739,099,868.92
取得投资收益收到的现金||574,993,737.73|502,999,553.21
处置固定资产、无形资产和其他长期资产收回的现金净额||4,804,967.01|3,009,528.86
处置子公司及其他营业单位收到的现金净额||395,038,418.80|
收到其他与投资活动有关的现金|（七十八）|10,147,405,809.00|13,888,891,715.83
投资活动现金流入小计||11,950,252,819.26|15,134,000,666.82
购建固定资产、无形资产和其他长期资产支付的现金||2,364,515,829.40|1,690,860,888.33
投资支付的现金||976,509,288.37|62,442,770.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||850,000.00|-568,840,923.74
支付其他与投资活动有关的现金|（七十八）|11,682,000,000.00|13,710,308,762.50
投资活动现金流出小计||15,023,875,117.77|14,894,771,497.09
投资活动产生的现金流量净额||-3,073,622,298.51|239,229,169.73
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||250,000,000.00|21,445,420.00
其中：子公司吸收少数股东投资收到的现金||240,000,000.00|10,000,000.00
取得借款收到的现金||646,137,182.67|295,680,175.98
收到其他与筹资活动有关的现金|（七十八）||
筹资活动现金流入小计||896,137,182.67|317,125,595.98
偿还债务支付的现金||533,542,969.92|1,869,510,300.93
分配股利、利润或偿付利息支付的现金||1,077,454,140.61|1,082,408,398.13
其中：子公司支付给少数股东的股利、利润||10,626,130.94|45,433,416.23
支付其他与筹资活动有关的现金|（七十八）|296,454,026.63|262,478,390.93
筹资活动现金流出小计||1,907,451,137.16|3,214,397,089.99
筹资活动产生的现金流量净额||-1,011,313,954.49|-2,897,271,494.01
四、汇率变动对现金及现金等价物的影响||-35,100,731.94|8,331,649.88
五、现金及现金等价物净增加额||-510,796,083.27|117,012,037.01
加：期初现金及现金等价物余额||8,216,373,506.85|8,099,361,469.84
六、期末现金及现金等价物余额||7,705,577,423.58|8,216,373,506.85
