page|77
项 目|附注六|本期金额|上期金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||541,182,043.72|255,600,096.33
收到的税费返还||178,992.39|4,468,043.43
收到其他与经营活动有关的现金|注释 44|98,157,756.46|101,873,085.52
经营活动现金流入小计||639,518,792.57|361,941,225.28
购买商品、接受劳务支付的现金||17,130,808.00|8,856,247.31
支付给职工以及为职工支付的现金||56,344,562.73|51,010,024.67
支付的各项税费||49,664,076.92|51,749,021.00
支付其他与经营活动有关的现金|注释 44|144,165,218.61|85,779,221.00
经营活动现金流出小计||267,304,666.26|197,394,513.98
经营活动产生的现金流量净额||372,214,126.31|164,546,711.30
二、投资活动产生的现金流量：|||
收回投资所收到的现金||9,000,000.00|48,412,041.52
取得投资收益收到的现金||-|3,594,025.91
处置固定资产、无形资产和其他长期资产收回的现金净额||177,195.96|-
处置子公司及其他营业单位收到的现金净额||-|163,926,008.11
收到其他与投资活动有关的现金|注释 44|-|89,622,287.00
投资活动现金流入小计||9,177,195.96|305,554,362.54
购建固定资产、无形资产和其他长期资产支付的现金||541,508.24|55,000.00
投资支付的现金||2,402,160.00|-
取得子公司及其他营业单位支付的现金净额||-|83,000.00
支付其他与投资活动有关的现金|注释 44|-|1,400,000.00
投资活动现金流出小计||2,943,668.24|1,538,000.00
投资活动产生的现金流量净额||6,233,527.72|304,016,362.54
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|-
其中：子公司吸收少数股东投资收到的现金||-|-
取得借款收到的现金||300,000,000.00|-
收到其他与筹资活动有关的现金|注释 44|1,400,000.00|1,000,000.00
筹资活动现金流入小计||301,400,000.00|1,000,000.00
偿还债务支付的现金||422,000,000.00|470,000,000.00
分配股利、利润或偿付利息支付的现金||93,369,881.18|111,273,417.56
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金|注释 44|4,608,450.00|12,785,666.67
筹资活动现金流出小计||519,978,331.18|594,059,084.23
筹资活动产生的现金流量净额||-218,578,331.18|-593,059,084.23
四、汇率变动对现金及现金等价物的影响||-244,575.31|-730,000.00
五、现金及现金等价物净增加额|注释 45|159,624,747.54|-125,226,010.39
加：期初现金及现金等价物余额||67,457,115.35|192,683,125.74
六、期末现金及现金等价物余额||227,081,862.89|67,457,115.35
