page|76
项目|附注六|本期金额|上期金额
一、营业总收入|注释 30|570,162,656.45|242,774,366.70
减：营业成本|注释 30|155,796,350.75|33,973,707.15
税金及附加|注释 31|116,578,186.92|51,671,123.55
销售费用|注释 32|20,473,633.74|25,750,445.54
管理费用|注释 33|91,559,122.78|92,871,314.54
研发费用||-|-
财务费用|注释 34|97,267,942.17|121,487,858.48
其中：利息费用||98,178,739.05|121,946,005.46
利息收入||981,878.79|1,328,853.28
加：其他收益|注释 35|2,339,992.01|368,469.50
投资收益|注释 36|28,563,760.27|60,150,334.70
其中：对联营企业和合营企业的投资收益||32,387,345.64|21,146,721.57
以摊余成本计量的金融资产终止确认收益||-|-
净敞口套期收益||-|-
公允价值变动收益|注释 37|-2,620,373.12|1,955,000.00
信用减值损失|注释 38|-1,132,918.95|-3,285,358.57
资产减值损失|注释 39|-3,723,779.83|-13,731,708.67
资产处置收益|注释 40|176,024.02|-
二、营业利润||112,090,124.49|-37,523,345.60
加： 营业外收入|注释 41|35,112,976.40|1,912,147.57
减： 营业外支出|注释 42|977,043.64|291,431.18
三、利润总额||146,226,057.25|-35,902,629.21
减： 所得税费用|注释 43|30,817,876.23|29,547,382.71
四、净利润||115,408,181.02|-65,450,011.92
其中：同一控制下企业合并被合并方在合并前实现的净利润||-|-
（一）按经营持续性分类|||
持续经营净利润||115,408,181.02|-65,450,011.92
终止经营净利润||-|-
（二）按所有权归属分类|||
归属于母公司所有者的净利润||107,337,965.92|-81,761,338.98
少数股东损益||8,070,215.10|16,311,327.06
五、其他综合收益的税后净额||152,952,623.85|-16,017.05
归属于母公司所有者的其他综合收益的税后净额||142,404,837.85|-16,017.05
（一）不能重分类进损益的其他综合收益||-|-
（二）将重分类进损益的其他综合收益||142,404,837.85|-16,017.05
1.外币财务报表折算差额||81,555.63|-16,017.05
2.其他资产转换为公允价值模式计量的投资性房地产||142,323,282.22|-
归属于少数股东的其他综合收益的税后净额||10,547,786.00|-
六、综合收益总额||268,360,804.87|-65,466,028.97
归属于母公司所有者的综合收益总额||249,742,803.77|-81,777,356.03
归属于少数股东的综合收益总额||18,618,001.10|16,311,327.06
七、每股收益：|||
（一）基本每股收益||0.14|-0.11
（二）稀释每股收益||0.14|-0.11
