page|83
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,042,062,087.36|759,107,963.79
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||31,585,621.99|18,597,386.15
收到其他与经营活动有关的现金|七、78|232,215,090.79|299,681,719.37
经营活动现金流入小计||1,305,862,800.14|1,077,387,069.31
购买商品、接受劳务支付的现金||1,033,294,407.63|495,474,032.50
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||33,896,653.80|28,096,129.23
支付的各项税费||27,313,930.13|29,878,917.58
支付其他与经营活动有关的现金|七、78|143,731,543.46|399,207,236.50
经营活动现金流出小计||1,238,236,535.02|952,656,315.81
经营活动产生的现金流量净额||67,626,265.12|124,730,753.50
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||41,213.70|1,377,107.18
处置固定资产、无形资产和其他长期资产收回的现金净额||51,638.72|54,000.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|14,000,000.00|432,000,000.00
投资活动现金流入小计||14,092,852.42|433,431,107.18
购建固定资产、无形资产和其他长期资产支付的现金||8,543,463.97|11,687,537.56
投资支付的现金||46,500,000.00|60,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78|14,000,000.00|420,000,000.00
投资活动现金流出小计||69,043,463.97|491,687,537.56
page|84
投资活动产生的现金流量净额||-54,950,611.55|-58,256,430.38
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||44,387,973.20|66,581,959.80
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||44,387,973.20|66,581,959.80
筹资活动产生的现金流量净额||-44,387,973.20|-66,581,959.80
四、汇率变动对现金及现金等价物的影响||-2,807,247.94|-5,331,335.75
五、现金及现金等价物净增加额||-34,519,567.57|-5,438,972.43
加：期初现金及现金等价物余额||153,993,282.35|159,432,254.78
六、期末现金及现金等价物余额||119,473,714.78|153,993,282.35
