page|95
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||251,564,770.23|218,990,404.11
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||8,558,784.05|7,423,478.51
收到其他与经营活动有关的现金|七、78|40,335,940.10|17,865,186.25
经营活动现金流入小计||300,459,494.38|244,279,068.87
购买商品、接受劳务支付的现金||107,375,444.60|90,273,189.13
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现|||
page|96
金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||80,920,987.36|64,735,278.35
支付的各项税费||5,265,589.87|9,840,371.75
支付其他与经营活动有关的现金|七、78|41,326,453.91|26,825,534.49
经营活动现金流出小计||234,888,475.74|191,674,373.72
经营活动产生的现金流量净额||65,571,018.64|52,604,695.15
二、投资活动产生的现金流量：|||
收回投资收到的现金||124,990,000.00|
取得投资收益收到的现金||1,645,530.12|178,148.88
处置固定资产、无形资产和其他长期资产收回的现金净额|||53,097.35
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78||64,830,000.00
投资活动现金流入小计||126,635,530.12|65,061,246.23
购建固定资产、无形资产和其他长期资产支付的现金||136,747,135.62|100,556,972.50
投资支付的现金||84,190,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78||115,800,000.00
投资活动现金流出小计||220,937,135.62|216,356,972.50
投资活动产生的现金流量净额||-94,301,605.50|-151,295,726.27
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||45,000,000.00|489,966,284.59
其中：子公司吸收少数股东投资收到的现金||45,000,000.00|
取得借款收到的现金||91,268,000.00|97,500,518.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||136,268,000.00|587,466,802.59
偿还债务支付的现金||67,618,424.00|74,522,094.00
分配股利、利润或偿付利息支付的现金||4,593,224.27|3,984,320.24
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|8,654,716.99|8,035,023.65
筹资活动现金流出小计||80,866,365.26|86,541,437.89
筹资活动产生的现金流量净额||55,401,634.74|500,925,364.70
page|97
四、汇率变动对现金及现金等价物的影响||-347,666.20|-451,063.46
五、现金及现金等价物净增加额||26,323,381.68|401,783,270.12
加：期初现金及现金等价物余额||456,950,328.58|55,167,058.46
六、期末现金及现金等价物余额||483,273,710.26|456,950,328.58
