page|70
项目|附 注|2021 年度|2020 年度
一、营业总收入||1,261,684,395.00|779,660,526.28
其中：营业收入|1|1,261,684,395.00|779,660,526.28
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,193,996,408.99|689,723,806.46
其中：营业成本|1|1,041,251,420.36|597,659,657.31
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|2|10,129,314.83|2,387,347.30
销售费用|3|35,393,197.16|21,422,938.56
管理费用|4|44,682,623.35|27,282,974.81
研发费用|5|50,096,527.05|31,710,911.81
财务费用|6|12,443,326.24|9,259,976.67
其中：利息费用|6|13,240,626.32|9,812,227.11
利息收入|6|979,934.09|666,430.60
加：其他收益|7|5,320,906.75|6,867,161.98
投资收益（损失以“－”号填列）|8|3,681,333.26|1,591,925.38
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|71
公允价值变动收益（损失以“－”号填列）|9|312,944.75|
信用减值损失（损失以“-”号填列）|10|-3,664,056.78|-647,180.38
资产减值损失（损失以“-”号填列）|11|-1,397,302.21|-912,420.03
资产处置收益（损失以“－”号填列）|12||-542,606.86
三、营业利润（亏损以“－”号填列）||71,941,811.78|96,293,599.91
加：营业外收入|13|21,742,238.96|106,013.70
减：营业外支出|14|4,580,710.51|4,841,951.12
四、利润总额（亏损总额以“－”号填列）||89,103,340.23|91,557,662.49
减：所得税费用|15|5,859,990.06|10,915,176.49
五、净利润（净亏损以“－”号填列）||83,243,350.17|80,642,486.00
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||83,243,350.17|80,642,486.00
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||83,243,350.17|80,642,486.00
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额|||
（一）归属于母公司所有者的综合收益总额||83,243,350.17|80,642,486.00
（二）归属于少数股东的综合收益总额||83,243,350.17|80,642,486.00
八、每股收益：|||
（一）基本每股收益(元/股)||0.19|0.22
（二）稀释每股收益(元/股)||0.19|0.22
