page|97
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||461,666,294.05|570,941,059.34
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
page|98
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||14,751,326.96|42,960,256.28
收到其他与经营活动有关的现金|七、76|35,498,032.11|10,374,600.98
经营活动现金流入小计||511,915,653.12|624,275,916.60
购买商品、接受劳务支付的现金||282,644,300.40|338,506,182.50
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||158,481,252.77|117,329,899.67
支付的各项税费||26,802,085.39|24,571,093.28
支付其他与经营活动有关的现金|七、76|53,521,740.77|45,576,628.83
经营活动现金流出小计||521,449,379.33|525,983,804.28
经营活动产生的现金流量净额||-9,533,726.21|98,292,112.32
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||159,455.94|360,261.05
处置固定资产、无形资产和其他长期资产收回的现金净额|||206,995.60
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、76|65,493,778.83|
投资活动现金流入小计||65,653,234.77|567,256.65
购建固定资产、无形资产和其他长期资产支付的现金||43,365,437.13|47,762,761.20
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、76|1,066,761,326.00|
page|99
投资活动现金流出小计||1,110,126,763.13|47,762,761.20
投资活动产生的现金流量净额||-1,044,473,528.36|-47,195,504.55
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,152,696,226.44|78,000,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|七、76|26,521,337.76|19,050,257.76
筹资活动现金流入小计||1,179,217,564.20|97,050,257.76
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金|||21,775,440.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、76|46,060,093.19|30,845,784.74
筹资活动现金流出小计||46,060,093.19|52,621,224.74
筹资活动产生的现金流量净额||1,133,157,471.01|44,429,033.02
四、汇率变动对现金及现金等价物的影响||-84,897.27|221,595.14
五、现金及现金等价物净增加额||79,065,319.17|95,747,235.93
加：期初现金及现金等价物余额||222,170,982.42|126,423,746.49
六、期末现金及现金等价物余额||301,236,301.59|222,170,982.42
