page|129
项目|附注七|2021 年度|2020 年度
一、营业总收入||22,902,385,129.11|16,535,431,465.41
其中：营业收入|61|22,902,385,129.11|16,535,431,465.41
二、营业总成本||18,574,515,601.42|13,928,304,273.31
其中：营业成本|61|14,592,255,587.53|10,253,275,738.89
税金及附加|62|53,579,059.31|34,504,967.70
销售费用|63|698,969,994.28|588,459,299.32
管理费用|64|2,203,386,893.23|1,839,000,399.44
研发费用|65|942,241,901.18|693,259,628.60
财务费用|66|84,082,165.89|519,804,239.36
其中：利息费用||68,113,113.60|141,828,613.31
利息收入||191,693,311.64|92,362,586.63
加：其他收益|67|247,775,495.62|206,813,795.66
投资收益（损失以“－”号填列）|68|1,356,268,589.82|606,231,164.30
其中：对联营企业和合营企业的投资收益||-117,290,359.37|-90,751,984.66
公允价值变动收益（损失以“－”号填列）|70|-93,387,493.16|52,271,444.73
信用减值损失（损失以“-”号填列）|71|-31,614,527.69|-12,627,035.02
资产减值损失（损失以“-”号填列）|72|-33,056,091.09|-62,641,873.62
资产处置收益（损失以“－”号填列）|73|263,869,508.72|-7,689,705.88
三、营业利润（亏损以“－”号填列）||6,037,725,009.91|3,389,484,982.27
加：营业外收入|74|10,712,815.84|5,450,731.50
减：营业外支出|75|32,828,969.33|25,560,017.86
四、利润总额（亏损总额以“－”号填列）||6,015,608,856.42|3,369,375,695.91
减：所得税费用|76|879,661,688.38|383,125,594.56
五、净利润（净亏损以“－”号填列）||5,135,947,168.04|2,986,250,101.35
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||5,135,947,168.04|2,986,250,101.35
2.终止经营净利润（净亏损以“－”号填列）||-|-
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||5,097,155,283.68|2,960,235,495.88
2.少数股东损益（净亏损以“-”号填列）||38,791,884.36|26,014,605.47
六、其他综合收益的税后净额|77|-510,887,688.18|87,649,859.02
page|130
（一）归属母公司所有者的其他综合收益的税后净额||-508,364,895.50|80,696,987.16
1．不能重分类进损益的其他综合收益||-|-
2．将重分类进损益的其他综合收益||-508,364,895.50|80,696,987.16
（1）权益法下可转损益的其他综合收益||-|-
（2）其他债权投资公允价值变动||-|-
（3）金融资产重分类计入其他综合收益的金额||-|-
（4）其他债权投资信用减值准备||-|-
（5）现金流量套期储备||-292,149,303.16|506,209,973.42
（6）外币财务报表折算差额||-216,215,592.34|-425,512,986.26
（7）其他||-|-
（二）归属于少数股东的其他综合收益的税后净额||-2,522,792.68|6,952,871.86
七、综合收益总额||4,625,059,479.86|3,073,899,960.37
（一）归属于母公司所有者的综合收益总额||4,588,790,388.18|3,040,932,483.04
（二）归属于少数股东的综合收益总额||36,269,091.68|32,967,477.33
八、每股收益：|||
（一）基本每股收益(元/股)||1.75|1.06
（二）稀释每股收益(元/股)||1.73|1.05
