page|126
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|1|8,238,772,782.53|10,237,170,216.15
交易性金融资产|2|527,288,380.38|4,617,724,684.99
衍生金融资产|3|229,142,186.76|562,824,032.02
应收票据|4|48,000,000.00|2,500,000.00
应收账款|5|4,619,550,091.65|3,664,789,832.59
预付款项|7|302,910,091.83|175,731,609.47
其他应收款|8|339,579,823.47|33,916,022.02
其中：应收利息||38,280.82|2,247,270.86
应收股利||-|-
存货|9|5,905,005,712.92|2,685,858,968.33
合同资产|10|773,432,779.63|541,952,792.04
其他流动资产|13|1,001,966,753.16|536,871,759.36
流动资产合计||21,985,648,602.33|23,059,339,916.97
非流动资产：|||
长期股权投资|17|678,304,556.75|764,832,343.04
其他非流动金融资产|19|8,714,098,195.97|6,717,206,517.57
固定资产|21|8,553,875,239.51|5,710,067,919.14
在建工程|22|5,771,792,447.77|3,086,116,115.11
生产性生物资产|23|733,510,000.00|418,869,000.00
使用权资产|25|1,069,566,509.12|1,107,519,333.99
无形资产|26|1,599,754,747.41|997,663,520.66
商誉|28|1,925,563,131.98|1,391,759,037.62
长期待摊费用|29|1,539,454,173.75|1,357,522,536.54
递延所得税资产|30|389,846,300.63|300,900,804.32
其他非流动资产|31|2,165,974,478.81|1,379,368,653.59
非流动资产合计||33,141,739,781.70|23,231,825,781.58
资产总计||55,127,388,384.03|46,291,165,698.55
流动负债：|||
短期借款|32|2,261,479,950.00|1,230,010,900.00
交易性金融负债|33|-|16,507,997.00
衍生金融负债|34|3,651,608.46|858,612.35
应付票据|35|-|11,652,388.59
应付账款|36|1,931,006,166.97|929,731,152.30
合同负债|38|2,986,378,875.46|1,580,979,702.23
应付职工薪酬|39|1,580,451,651.57|1,139,557,476.59
应交税费|40|536,009,384.72|378,656,659.08
其他应付款|41|3,289,192,625.17|2,454,568,919.68
其中：应付利息||1,337,744.33|847,997.93
应付股利||-|-
page|127
一年内到期的非流动负债|43|396,423,607.05|177,436,405.49
其他流动负债|44|-|384,653.23
流动负债合计||12,984,593,869.40|7,920,344,866.54
非流动负债：|||
应付债券|46|607,140,031.37|1,819,028,586.29
其中：优先股||-|-
永续债||-|-
租赁负债|47|1,018,978,731.37|1,067,102,918.35
递延收益|51|770,600,758.25|682,034,864.55
递延所得税负债|30|324,125,305.36|282,986,772.94
其他非流动负债|52|664,487,072.47|1,801,176,381.16
非流动负债合计||3,385,331,898.82|5,652,329,523.29
负债合计||16,369,925,768.22|13,572,674,389.83
所有者权益（或股东权益）：|||
实收资本（或股本）|53|2,955,826,899.00|2,441,684,821.00
资本公积|55|25,731,889,443.00|22,678,175,352.71
减：库存股|56|2,459,221,426.68|1,189,921,407.47
其他综合收益|57|-271,422,544.97|236,942,350.53
专项储备|58|-|-
盈余公积|59|408,358,883.50|238,896,564.09
未分配利润|60|12,126,078,376.75|8,087,965,408.92
归属于母公司所有者权益（或股东权益）合计||38,491,509,630.60|32,493,743,089.78
少数股东权益||265,952,985.21|224,748,218.94
所有者权益（或股东权益）合计||38,757,462,615.81|32,718,491,308.72
负债和所有者权益（或股东权益）总计||55,127,388,384.03|46,291,165,698.55
