page|74
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||16,971,283,294.75|15,602,031,413.76
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,613,051.08|41,294.42
收到其他与经营活动有关的现金||1,036,118,073.56|1,064,303,645.49
经营活动现金流入小计||18,009,014,419.39|16,666,376,353.67
购买商品、接受劳务支付的现金||14,985,707,129.91|13,331,727,695.15
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,579,072,341.63|1,686,794,225.74
支付的各项税费||50,935,857.60|80,156,487.17
支付其他与经营活动有关的现金||923,757,925.97|643,280,670.90
经营活动现金流出小计||17,539,473,255.11|15,741,959,078.96
经营活动产生的现金流量净额||469,541,164.28|924,417,274.71
二、投资活动产生的现金流量：|||
收回投资收到的现金||732,721,322.38|280,000,000.00
取得投资收益收到的现金||28,655,971.41|69,701,145.42
处置固定资产、无形资产和其他长期资产收回的现金净额||1,181,380.53|163,584,013.97
处置子公司及其他营业单位收到的现金净额||-|110,974,190.64
收到其他与投资活动有关的现金||115,676.77|
投资活动现金流入小计||762,674,351.09|624,259,350.03
购建固定资产、无形资产和其他长期资产支付的现金||788,263,347.03|588,548,832.90
投资支付的现金||1,251,166,753.95|479,827,759.59
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||11,536,539.21|341,067,510.94
支付其他与投资活动有关的现金|||
page|75
投资活动现金流出小计||2,050,966,640.19|1,409,444,103.43
投资活动产生的现金流量净额||-1,288,292,289.10|-785,184,753.40
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||14,685,000.00|19,230,000.00
其中：子公司吸收少数股东投资收到的现金||14,685,000.00|19,230,000.00
取得借款收到的现金||5,022,838,197.03|3,582,590,935.40
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||5,037,523,197.03|3,601,820,935.40
偿还债务支付的现金||4,278,588,916.55|3,163,147,042.22
分配股利、利润或偿付利息支付的现金||228,572,936.62|222,959,759.48
其中：子公司支付给少数股东的股利、利润||3,464,447.00|3,307,877.79
支付其他与筹资活动有关的现金||49,883,339.15|49,954,551.69
筹资活动现金流出小计||4,557,045,192.32|3,436,061,353.39
筹资活动产生的现金流量净额||480,478,004.71|165,759,582.01
四、汇率变动对现金及现金等价物的影响||-10,288,502.17|-4,858,623.10
五、现金及现金等价物净增加额||-348,561,622.28|300,133,480.22
加：期初现金及现金等价物余额||3,732,605,230.11|3,432,471,749.89
六、期末现金及现金等价物余额||3,384,043,607.83|3,732,605,230.11
