page|98
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||151,545,335,786.31|120,910,179,491.78
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||960,625,731.60|1,409,776,365.53
收到其他与经营活动有关的现金|七、68|6,104,577,821.61|6,823,604,188.52
经营活动现金流入小计||158,610,539,339.52|129,143,560,045.83
购买商品、接受劳务支付的现金||117,286,189,839.27|103,655,666,936.66
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||11,120,357,281.56|8,656,488,534.27
支付的各项税费||2,365,952,535.81|1,668,909,819.63
支付其他与经营活动有关的现金|七、68|6,635,668,154.49|7,031,719,133.65
经营活动现金流出小计||137,408,167,811.13|121,012,784,424.21
经营活动产生的现金流量净额|七、69|21,202,371,528.39|8,130,775,621.62
page|99
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,279,371,376.10|1,039,563,142.43
取得投资收益收到的现金||2,048,694,468.93|1,340,120,103.08
处置固定资产、无形资产和其他长期资产收回的现金净额||205,989,354.83|226,690,751.56
处置子公司及其他营业单位收到的现金净额||12,264,697,694.80|-
收到其他与投资活动有关的现金|七、68|409,558,569.45|234,036,179.35
投资活动现金流入小计||17,208,311,464.11|2,840,410,176.42
购建固定资产、无形资产和其他长期资产支付的现金||11,082,748,906.99|19,887,519,140.25
投资支付的现金||1,616,386,814.34|1,241,782,311.43
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||98,409,138.11|21,033,989,002.10
支付其他与投资活动有关的现金|七、68|13,276,375.46|20,667,567.02
投资活动现金流出小计||12,810,821,234.90|42,183,958,020.80
投资活动产生的现金流量净额||4,397,490,229.21|-39,343,547,844.38
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||7,708,478,556.29|99,250,762.30
其中：子公司吸收少数股东投资收到的现金||4,350,147.69|99,250,762.30
取得借款收到的现金||58,071,907,199.92|73,622,478,574.18
收到其他与筹资活动有关的现金|七、68|1,079,445,716.00|1,449,817,079.69
筹资活动现金流入小计||66,859,831,472.21|75,171,546,416.17
偿还债务支付的现金||60,933,501,213.34|31,672,431,874.27
分配股利、利润或偿付利息支付的现金||5,395,634,518.91|3,881,787,195.41
其中：子公司支付给少数股东的股利、利润||825,570,762.27|615,248,356.72
支付其他与筹资活动有关的现金|七、68|10,068,560,250.44|2,050,624,973.58
筹资活动现金流出小计||76,397,695,982.69|37,604,844,043.26
筹资活动产生的现金流量净额||-9,537,864,510.48|37,566,702,372.91
四、汇率变动对现金及现金等价物的影响||865,073,812.86|745,273,196.40
五、现金及现金等价物净增加额|七、69|16,927,071,059.98|7,099,203,346.55
加：期初现金及现金等价物余额|七、69|32,837,729,046.74|25,738,525,700.19
六、期末现金及现金等价物余额|七、69|49,764,800,106.72|32,837,729,046.74
