page|93
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,541,344,453.52|2,557,670,620.00
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||63,878,966.63|22,922,682.17
收到其他与经营活动有关的现金||14,721,096.67|16,535,070.47
经营活动现金流入小计||2,619,944,516.82|2,597,128,372.64
购买商品、接受劳务支付的现金||1,670,165,473.20|1,668,562,485.13
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
page|94
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||417,724,805.17|371,237,157.99
支付的各项税费||44,826,343.67|60,650,869.88
支付其他与经营活动有关的现金||176,238,522.91|101,463,643.54
经营活动现金流出小计||2,308,955,144.95|2,201,914,156.54
经营活动产生的现金流量净额||310,989,371.87|395,214,216.10
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||10,473,207.47|11,938,647.35
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||10,473,207.47|11,938,647.35
购建固定资产、无形资产和其他长期资产支付的现金||119,671,410.35|69,357,688.91
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||119,671,410.35|69,357,688.91
投资活动产生的现金流量净额||-109,198,202.88|-57,419,041.56
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||245,995,618.81|513,518,046.71
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||245,995,618.81|513,518,046.71
偿还债务支付的现金||443,374,482.27|582,782,496.71
分配股利、利润或偿付利息支付的现金||50,148,119.93|154,033,422.68
其中：子公司支付给少数股东的股利、利润|||84,123,211.72
page|95
支付其他与筹资活动有关的现金||130,808.76|7,950,683.18
筹资活动现金流出小计||493,653,410.96|744,766,602.57
筹资活动产生的现金流量净额||-247,657,792.15|-231,248,555.86
四、汇率变动对现金及现金等价物的影响||-483,612.97|4,986,168.96
五、现金及现金等价物净增加额||-46,350,236.13|111,532,787.64
加：期初现金及现金等价物余额||325,533,886.85|214,001,099.21
六、期末现金及现金等价物余额||279,183,650.72|325,533,886.85
