page|14
项目名称|期初余额|期末余额|当期变动|对当期利润的影响金额
交易性金融资产|17,757,776,032.47|17,667,368,833.83|-90,407,198.64|1,895,599,873.65
其他债权投资|14,029,225,758.72|11,383,678,879.93|-2,645,546,878.79|553,793,054.52
其他权益工具投资|2,450,423,220.74|3,317,992,713.71|867,569,492.97|157,485,401.85
交易性金融负债|1,941,785,823.23|779,764,040.12|-1,162,021,783.11|-67,114,876.64
衍生金融工具|2,141,911.94|-15,804,750.70|-17,946,662.64|-195,884,659.81
合计|36,181,352,747.10|33,132,999,716.89|-3,048,353,030.21|2,343,878,793.57
page|15
盈余公积|1,100,648,039.52|1,023,127,927.72|7.58
一般风险准备|2,124,316,090.64|1,969,275,867.04|7.87
未分配利润|2,771,469,583.10|2,518,032,956.48|10.06
利润表项目|2019 年度|2018 年度|增减率（%）
营业总收入|3,488,837,437.18|2,744,154,393.47|27.14
利息净收入|187,534,369.89|-448,043,668.87|不适用
手续费及佣金净收入|950,089,370.78|1,146,206,464.50|-17.11
投资收益|1,295,444,737.05|1,683,119,524.21|-23.03
其他收益|40,487,656.24|85,551,494.36|-52.67
公允价值变动收益|905,791,168.72|-2,682,847.89|不适用
其他业务收入|99,822,732.16|339,604,831.58|-70.61
营业总支出|2,382,718,116.94|2,526,050,252.03|-5.67
税金及附加|21,941,346.26|27,365,477.46|-19.82
业务及管理费|1,956,004,590.68|1,780,082,659.19|9.88
资产减值损失|不适用|376,135,779.21|不适用
信用减值损失|300,653,113.39|不适用|不适用
其他资产减值损失|15,422,171.52|不适用|不适用
其他业务成本|88,696,895.09|342,466,336.17|-74.10
所得税费用|134,683,982.34|-800,865.43|不适用
净利润|964,502,673.18|215,225,572.12|348.14
其他综合收益的税后净额|142,704,447.24|-692,284,266.77|不适用
