page|74
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,355,830,531.48|5,322,343,592.62
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||217,784,669.26|310,036,208.20
经营活动现金流入小计||5,573,615,200.74|5,632,379,800.82
购买商品、接受劳务支付的现金||2,738,057,524.65|3,106,807,254.69
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
page|75
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||93,368,476.33|105,012,542.69
支付的各项税费||597,706,694.27|709,707,246.56
支付其他与经营活动有关的现金||449,457,680.68|242,529,053.48
经营活动现金流出小计||3,878,590,375.93|4,164,056,097.42
经营活动产生的现金流量净额||1,695,024,824.81|1,468,323,703.40
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,033,500,000.00|4,466,000,000.00
取得投资收益收到的现金||10,865,694.98|19,699,329.43
处置固定资产、无形资产和其他长期资产收回的现金净额||71,000.00|8,192.35
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||2,044,436,694.98|4,485,707,521.78
购建固定资产、无形资产和其他长期资产支付的现金||204,285,108.96|218,268,723.13
投资支付的现金||2,337,017,000.00|4,896,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||171,747,146.58
支付其他与投资活动有关的现金|||
投资活动现金流出小计||2,541,302,108.96|5,286,015,869.71
投资活动产生的现金流量净额||-496,865,413.98|-800,308,347.93
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||69,006,040.00|207,870,562.00
其中：子公司吸收少数股东投资收到的现金||45,000,000.00|
取得借款收到的现金||843,540,000.00|926,313,526.00
收到其他与筹资活动有关的现金||785,644,131.00|944,901,999.23
筹资活动现金流入小计||1,698,190,171.00|2,079,086,087.23
偿还债务支付的现金||1,051,031,179.38|1,064,530,348.73
分配股利、利润或偿付利息支付的现金||752,430,228.70|530,273,576.54
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||1,621,948,229.51|685,908,068.67
筹资活动现金流出小计||3,425,409,637.59|2,280,711,993.94
筹资活动产生的现金流量净额||-1,727,219,466.59|-201,625,906.71
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-529,060,055.76|466,389,448.76
加：期初现金及现金等价物余额||2,778,511,350.72|2,312,121,901.96
六、期末现金及现金等价物余额||2,249,451,294.96|2,778,511,350.72
