page|114
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||254,459,779.73|251,522,584.56
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|（四十八）|23,539,449.04|3,255,483.43
经营活动现金流入小计||277,999,228.77|254,778,067.99
购买商品、接受劳务支付的现金||122,141,596.24|79,303,444.84
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||46,250,701.23|32,997,506.16
page|115
支付的各项税费||38,576,003.59|27,707,651.21
支付其他与经营活动有关的现金|（四十八）|29,426,175.46|40,078,546.80
经营活动现金流出小计||236,394,476.52|180,087,149.01
经营活动产生的现金流量净额||41,604,752.25|74,690,918.98
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计|||
购建固定资产、无形资产和其他长期资产支付的现金||13,110,316.30|5,182,900.49
投资支付的现金||450,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||10,667.34|
投资活动现金流出小计||463,120,983.64|5,182,900.49
投资活动产生的现金流量净额||-463,120,983.64|-5,182,900.49
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||580,605,064.04|125,882,400.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||66,000,000.00|194,160,000.00
收到其他与筹资活动有关的现金|（四十八）||153,200,000.00
筹资活动现金流入小计||646,605,064.04|473,242,400.00
偿还债务支付的现金||116,160,000.00|293,750,000.00
分配股利、利润或偿付利息支付的现金||8,901,803.20|13,789,216.96
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（四十八）|37,694,394.17|183,550,000.00
筹资活动现金流出小计||162,756,197.37|491,089,216.96
筹资活动产生的现金流量净额||483,848,866.67|-17,846,816.96
四、汇率变动对现金及现金等价物的影响||6,837.48|120,035.64
五、现金及现金等价物净增加额||62,339,472.76|51,781,237.17
加：期初现金及现金等价物余||54,887,325.63|3,106,088.46
page|116
额|||
六、期末现金及现金等价物余额||117,226,798.39|54,887,325.63
