page|76
项目|附注|2019 年度|2018 年度
一、营业总收入||30,566,841,834|28,770,439,280
其中：营业收入|附注七、61|30,566,841,834|28,770,439,280
二、营业总成本||29,048,105,076|27,172,686,649
其中：营业成本|附注七、61|26,842,854,896|25,320,833,710
税金及附加|附注七、62|370,751,642|360,799,153
销售费用|附注七、63|181,189,653|140,812,507
管理费用|附注七、64|600,801,423|658,393,081
研发费用|附注七、65|123,290,619|31,604,457
财务费用|附注七、66|929,216,843|660,243,741
其中：利息费用||977,540,312|655,134,918
利息收入||85,811,546|55,702,684
加：其他收益|附注七、67|25,330,181|31,856,226
投资收益（损失以“－”号填列）|附注七、68|30,156,351|-929,761,902
其中：对联营企业和合营企业的投资收益||21,273,619|-920,822,190
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|附注七、70|102,617|25,066,310
信用减值损失（损失以“-”号填列）|附注七、71|-51,198,549|-
资产减值损失（损失以“-”号填列）|附注七、72|-131,720,029|-2,761,365,207
资产处置收益（损失以“－”号填列）|附注七、73|12,901,107|30,393,208
三、营业利润（亏损以“－”号填列）||1,404,308,436|-2,006,058,734
加：营业外收入|附注七、74|150,550,011|112,213,117
减：营业外支出|附注七、75|10,935,728|37,994,541
四、利润总额（亏损总额以“－”号填列）||1,543,922,719|-1,931,840,158
减：所得税费用|附注七、76|197,407,235|-121,950,661
五、净利润（净亏损以“－”号填列）||1,346,515,484|-1,809,889,497
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,346,515,484|-1,809,889,497
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润||1,007,130,948|-2,058,726,044
page|77
（净亏损以“-”号填列）|||
2.少数股东损益（净亏损以“-”号填列）||339,384,536|248,836,547
六、其他综合收益的税后净额||-3,778,163|6,400,422
（一）归属母公司所有者的其他综合收益的税后净额||-3,778,163|6,400,422
1．不能重分类进损益的其他综合收益||-84,130|-
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-84,130|-
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-3,694,033|6,400,422
（1）权益法下可转损益的其他综合收益||-|641,986
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益||-|205,723
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||-
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||-3,694,033|5,552,713
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,342,737,321|-1,803,489,075
（一）归属于母公司所有者的综合收益总额||1,003,352,785|-2,052,325,622
（二）归属于少数股东的综合收益总额||339,384,536|248,836,547
八、每股收益：|||
（一）基本每股收益(元/股)||0.42|-0.86
（二）稀释每股收益(元/股)||0.42|-0.86
