page|92
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||346,807,506.68|283,373,394.87
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||15,950,933.06|14,491,163.61
收到其他与经营活动有关的现金|78|9,532,775.23|8,743,384.54
经营活动现金流入小计||372,291,214.97|306,607,943.02
购买商品、接受劳务支付的现金||168,887,951.09|155,068,372.62
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||78,764,382.10|62,948,819.24
支付的各项税费||24,728,767.76|12,556,360.76
支付其他与经营活动有关的现金|78|45,698,040.31|31,708,330.56
page|93
经营活动现金流出小计||318,079,141.26|262,281,883.18
经营活动产生的现金流量净额||54,212,073.71|44,326,059.84
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||168,983.48|124,168.68
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||168,983.48|124,168.68
购建固定资产、无形资产和其他长期资产支付的现金||11,900,837.04|18,877,767.70
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||11,900,837.04|18,877,767.70
投资活动产生的现金流量净额||-11,731,853.56|-18,753,599.02
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||4,645,000.00
其中：子公司吸收少数股东投资收到的现金|||4,645,000.00
取得借款收到的现金||45,461,130.68|66,000,000.00
收到其他与筹资活动有关的现金|78||44,000,000.00
筹资活动现金流入小计||45,461,130.68|114,645,000.00
偿还债务支付的现金||68,500,000.00|72,000,000.00
分配股利、利润或偿付利息支付的现金||33,217,002.15|3,676,829.93
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|4,035,667.44|44,688,679.24
筹资活动现金流出小计||105,752,669.59|120,365,509.17
page|94
筹资活动产生的现金流量净额||-60,291,538.91|-5,720,509.17
四、汇率变动对现金及现金等价物的影响||925,156.06|4,557,357.70
五、现金及现金等价物净增加额||-16,886,162.70|24,409,309.35
加：期初现金及现金等价物余额||102,232,844.92|77,823,535.57
六、期末现金及现金等价物余额||85,346,682.22|102,232,844.92
