page|87
项目|附注七|2019 年度|2018 年度
一、营业总收入||367,376,821.29|285,892,848.28
其中：营业收入|61|367,376,821.29|285,892,848.28
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||279,686,136.44|209,129,008.73
其中：营业成本|61|192,853,691.50|146,747,700.86
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|3,340,724.23|3,465,878.34
销售费用|63|28,795,296.60|25,531,047.24
管理费用|64|23,138,338.64|19,037,034.43
page|88
研发费用|65|31,755,944.68|18,641,563.95
财务费用|66|-197,859.21|-4,294,216.09
其中：利息费用||1,698,428.68|3,648,682.15
利息收入||468,374.43|481,086.38
加：其他收益|67|6,971,180.04|1,603,541.53
投资收益（损失以“－”号填列）|||
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|71|-1,721,479.12|
资产减值损失（损失以“-”号填列）|72|-2,013,053.26|-3,227,845.92
资产处置收益（损失以“－”号填列）|73|106,300.00|18,350.00
三、营业利润（亏损以“－”号填列）||91,033,632.51|75,157,885.16
加：营业外收入|74|442,240.63|2,146,144.46
减：营业外支出|75|178,855.69|304,357.21
四、利润总额（亏损总额以“－”号填列）||91,297,017.45|76,999,672.41
减：所得税费用|76|13,789,457.04|13,043,671.06
五、净利润（净亏损以“－”号填列）||77,507,560.41|63,956,001.35
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||77,507,560.41|63,956,001.35
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||82,105,186.24|65,369,555.04
2.少数股东损益（净亏损以“-”号填列）||-4,597,625.83|-1,413,553.69
六、其他综合收益的税后净额||89,229.98|1,312,043.88
page|89
（一）归属母公司所有者的其他综合收益的税后净额||89,229.98|1,312,043.88
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||89,229.98|1,312,043.88
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||89,229.98|1,312,043.88
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||77,596,790.39|65,268,045.23
（一）归属于母公司所有者的综合收益总额||82,194,416.22|66,681,598.92
（二）归属于少数股东的综合收益总额||-4,597,625.83|-1,413,553.69
八、每股收益：|||
（一）基本每股收益(元/股)||0.91|0.73
（二）稀释每股收益(元/股)||0.91|0.73
