page|75
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,245,100,796.05|3,402,548,588.61
page|76
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||3,228,221.84|4,525,631.86
收到其他与经营活动有关的现金|七、78|12,604,726.81|15,096,644.64
经营活动现金流入小计||3,260,933,744.70|3,422,170,865.11
购买商品、接受劳务支付的现金||2,226,670,624.22|2,385,503,775.98
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||320,600,960.99|297,231,110.67
支付的各项税费||224,790,675.61|249,513,496.79
支付其他与经营活动有关的现金|七、78|120,017,328.73|327,001,997.16
经营活动现金流出小计||2,892,079,589.55|3,259,250,380.60
经营活动产生的现金流量净额||368,854,155.15|162,920,484.51
二、投资活动产生的现金流量：|||
收回投资收到的现金||296,157,581.39|277,507,107.73
取得投资收益收到的现金||40,390,362.30|2,966,477.34
处置固定资产、无形资产和其他长期资产收回的现金净额||5,042,204.44|830,526.50
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78||82,001,025.00
投资活动现金流入小计||341,590,148.13|363,305,136.57
page|77
购建固定资产、无形资产和其他长期资产支付的现金||197,093,223.27|662,543,797.18
投资支付的现金||352,159,998.72|332,810,833.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||2,414,090.00|643,924,976.31
支付其他与投资活动有关的现金||302,000.00|403,824.00
投资活动现金流出小计||551,969,311.99|1,639,683,430.49
投资活动产生的现金流量净额||-210,379,163.86|-1,276,378,293.92
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,920,000,000.00|1,742,776,350.00
收到其他与筹资活动有关的现金|七、78|16,989,215.29|13,877,838.92
筹资活动现金流入小计||1,936,989,215.29|1,756,654,188.92
偿还债务支付的现金||1,634,773,998.77|1,064,930,000.00
分配股利、利润或偿付利息支付的现金||92,741,702.94|71,101,541.31
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|131,025,957.22|253,558,029.92
筹资活动现金流出小计||1,858,541,658.93|1,389,589,571.23
筹资活动产生的现金流量净额||78,447,556.36|367,064,617.69
四、汇率变动对现金及现金等价物的影响||26,215,360.00|9,293,483.72
五、现金及现金等价物净增加额||263,137,907.65|-737,099,708.00
加：期初现金及现金等价物余额||573,533,869.48|1,310,633,577.48
六、期末现金及现金等价物余额||836,671,777.13|573,533,869.48
