page|48
项目|附注|2020 年度|2019 年度
一、营业总收入||1,968,952,164.37|2,212,094,888.87
其中：营业收入|七-61|1,968,952,164.37|2,212,094,888.87
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,789,589,077.90|2,102,543,980.48
其中：营业成本|七-61|1,248,218,895.71|1,444,565,008.42
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七-62|3,135,101.98|2,422,467.35
销售费用|七-63|426,216,461.86|507,288,193.26
管理费用|七-64|126,628,651.59|130,113,312.00
研发费用|||
财务费用|七-66|-14,610,033.24|18,154,999.45
其中：利息费用|七-66|8,140,880.34|13,762,311.07
利息收入|七-66|7,146,354.53|7,102,776.69
加：其他收益|七-67|13,991,631.79|10,707,272.83
投资收益（损失以“－”号填列）|七-68||12,975.92
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填|||
page|49
项目|附注|2020 年度|2019 年度
列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|七-71|-4,378,077.30|-302,574.72
资产减值损失（损失以“-”号填列）|七-72|-34,134,939.51|-36,926,741.23
资产处置收益（损失以“－”号填列）|七-73||150,031,446.19
三、营业利润（亏损以“－”号填列）||154,841,701.45|233,073,287.38
加：营业外收入|七-74|372,618.32|51,275.31
减：营业外支出|七-75|7,144,889.59|1,214,914.64
四、利润总额（亏损总额以“－”号填列）||148,069,430.18|231,909,648.05
减：所得税费用|七-76|1,942,549.72|49,447,323.50
五、净利润（净亏损以“－”号填列）||146,126,880.46|182,462,324.55
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||146,126,880.46|182,462,324.55
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||141,203,931.78|171,284,637.12
2.少数股东损益（净亏损以“-”号填列）||4,922,948.68|11,177,687.43
六、其他综合收益的税后净额||-20,611,413.34|6,141,034.11
（一）归属母公司所有者的其他综合收益的税后净额||-19,030,835.01|5,625,308.05
1．不能重分类进损益的其他综合收益||-46,290.83|-10,282.08
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-46,290.83|-10,282.08
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-18,984,544.18|5,635,590.13
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
page|50
项目|附注|2020 年度|2019 年度
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-18,984,544.18|5,635,590.13
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-1,580,578.33|515,726.06
七、综合收益总额||125,515,467.12|188,603,358.66
（一）归属于母公司所有者的综合收益总额||122,173,096.77|176,909,945.17
（二）归属于少数股东的综合收益总额||3,342,370.35|11,693,413.49
八、每股收益：|||
（一）基本每股收益(元/股)||0.59|0.71
（二）稀释每股收益(元/股)||0.59|0.71
