page|18
项目名称|本期期末数|本期期末数占总资产的比例 （%）|上期期末数|上期期末数占总资产的比例 （%）|本期期末金额较上期期末变动比例（%）|情况说明
流动资产：||||||
货币资金|13,425,585,163.76|10.06|11,357,042,513.37|8.93|18.21|
结算备付金|936,503,743.03|0.70|471,670,238.18|0.37||98.55  主要系下属子公司五矿证券本期为证券交易资金清算和交收而存入指定清算代理机构的款项变动所致。
交易性金融资产|30,374,805,919.15|22.75|25,794,399,843.64|20.28|17.76|
衍生金融资产|21,471,324.64|0.02|7,662,424.25|0.01||180.22  主要系下属子公司五矿产业金融持有的衍生金融资产增加所致。
应收账款|13,214,250.89|0.01|9,678,386.07|0.01||36.53  主要系下属子公司五矿证券的应收手续费及资产管理费增加所致。
预付款项|81,735,791.58|0.06|41,332,602.64|0.03||97.75  主要系下属子公司五矿证券的预付账款增加所致。
其他应收款|513,341,614.58|0.38|410,351,929.15|0.32|25.10|
其中：应收利息|10,299,758.65|0.01|20,831,911.22|0.02||-50.56  主要系下属子公司五矿证券及外贸租赁相关已到期可收取但于资产负债表日尚未收到的利息减少所致。
应收股利|||2,130,822.10||-100.00|
买入返售金融资产|2,240,052,223.66|1.68|1,500,014,391.75|1.18||49.34  主要系下属子公司五矿证券买入返售业务增加所致。
存货|236,482,927.83|0.18|265,022,238.63|0.21|-10.77|
page|19
一年内到期的非流动资产|19,750,439,274.42|14.79|20,864,690,316.57|16.40|-5.34|
其他流动资产|11,038,422,082.43|8.27|7,272,804,060.19|5.72||51.78  主要系下属子公司五矿证券融出资金增加以及五矿经易期货应收货币保证金增加所致。
非流动资产：||||||
债权投资|160,551,834.77|0.12|137,183,352.73|0.11|17.03|
其他债权投资|9,155,960,144.00|6.86|11,493,121,609.97|9.03|-20.34|
长期应收款|36,646,755,998.57|27.45|38,602,014,697.33|30.34|-5.07|
长期股权投资|1,516,753,486.63|1.14|1,399,406,560.62|1.10|8.39|
其他权益工具投资|272,800,444.10|0.20|372,844,327.11|0.29|-26.83|
其他非流动金融资产|1,842,179,513.69|1.38|2,036,272,468.07|1.60|-9.53|
投资性房地产|323,079,725.29|0.24|4,409,398.85|||7,227.07  主要系下属子公司五矿经易期货自建办公楼对外出租所致。
固定资产|350,405,839.47|0.26|71,851,915.07|0.06||387.68  主要系下属子公司五矿经易期货在建工程完工转固定资产所致。
在建工程|||566,993,667.45|0.45||-100.00  主要系下属子公司五矿经易期货在建工程完工转固定资产、投资性房地产所致。
无形资产|489,587,677.71|0.37|447,097,943.28|0.35|9.50|
商誉|1,411,965,090.33|1.06|1,411,965,090.33|1.11||
长期待摊费用|44,641,666.69|0.03|54,184,895.69|0.04|-17.61|
递延所得税资产|1,578,341,818.29|1.18|1,576,726,022.00|1.24|0.10|
其他非流动资产|1,069,008,009.90|0.80|1,047,272,630.92|0.82|2.08|
流动负债：||||||
短期借款|37,517,149,596.30|28.10|32,932,023,465.33|25.89|13.92|
page|20
拆入资金|947,588,381.92|0.71|1,708,847,500.00|1.34||-44.55  主要系下属子公司五矿证券归还拆入资金所致。
交易性金融负债|252,611,343.25|0.19||||主要系下属子公司五矿信托交易性金融负债增加所致。
衍生金融负债|412,020.00||3,858,375.00|||-89.32  主要系下属子公司五矿产业金融持有的衍生金融负债减少所致。
应付账款|81,060,458.01|0.06|85,821,687.79|0.07|-5.55|
预收款项|3,713.80||75,211,090.87|0.06||-100.00  主要系五矿经易期货本期预收货款减少及执行新收入准则影响所致。
卖出回购金融资产款|3,905,922,227.23|2.93|8,963,888,645.79|7.05||-56.43  主要系下属子公司五矿证券卖出回购业务减少所致。
代理买卖证券款|2,129,131,312.70|1.59|1,560,159,018.87|1.23||36.47  主要系下属子公司五矿证券代理买卖证券款规模增加所致。
应付职工薪酬|1,071,330,208.65|0.80|1,013,362,024.35|0.80|5.72|
应交税费|1,073,150,970.80|0.80|556,391,446.92|0.44||92.88  主要系下属子公司五矿信托尚未缴纳的增值税增加所致。
其他应付款|1,425,308,455.49|1.07|15,315,270,718.02|12.04||-90.69  主要系下属子公司五矿资本控股偿还中国五矿资助款所致。
合同负债|20,692,006.52|0.02||||主要系下属子公司执行新收入准则所致。
一年内到期的非流动负债|7,161,732,799.95|5.36|2,592,548,643.65|2.04||176.24  主要系下属子公司外贸租赁一年内到期的长期借款、债券增加所致。
其他流动负债|11,222,850,281.35|8.41|8,711,892,897.04|6.85|28.82|
非流动负债：||||||
长期借款|479,000,000.00|0.36|2,980,591,026.40|2.34||-83.93  主要系下属子公司外贸租赁的长期借款到期还款以及部
page|21
||||||分长期借款根据流动性重分类一年内到期的非流动负债所致。
应付债券|4,800,000,000.00|3.60|6,076,363,747.19|4.78|-21.01|
长期应付款|3,444,461,247.79|2.58|4,196,397,730.53|3.30|-17.92|
长期应付职工薪酬|286,890,380.83|0.21|33,399,589.07|0.03||758.96  主要系公司及下属子公司部分薪酬递延发放所致。
预计负债|662,135,171.71|0.50|529,772,081.17|0.42|24.98|
递延所得税负债|162,821,004.16|0.12|78,692,045.54|0.06||106.91  主要系下属子公司五矿资本控股和外贸租赁递延所得税负债增加所致。
其他非流动负债|1,441,958,520.87|1.08|1,593,595,213.76|1.25|-9.52|
