page|87
||||中信证券股份有限公司|||
||||合并资产负债表|||
||||2021 年 12 月 31 日|||
|||||(除另有注明外，金额单位均为人民币元)||
||||||本集团|
||普华永道中天审字(2022)第 10059 号||||2021 年|2020 年
|||||附注六|12 月 31 日|12 月 31 日
|||(第八页，共八页)||||
六、注册会计师对财务报表审计的责任(续)||||资产|||
||||货币资金|1|279,551,391,020.43|233,693,264,600.98
|我们还就已遵守与独立性相关的职业道德要求向治理层提供声明，并与治理层沟通可||||||
||||其中：客户资金存款||194,559,711,115.02|158,250,995,008.88
|能被合理认为影响我们独立性的所有关系和其他事项，以及相关的防范措施(如适用)。||||||
||||结算备付金|2|40,518,221,872.94|56,934,000,392.55
||||其中：客户备付金||27,899,198,554.73|41,266,582,125.23
|与治理层沟通过的事项中，我们确定哪些事项对本期财务报表审计最为重要，因而||||||
从||||融出资金|3|129,119,054,428.68|116,741,431,729.57
构成关键审计事项。我们在审计报告中描述这些事项，除非法律法规禁止公开披露这|||||||
||||衍生金融资产|4|31,000,576,285.16|20,157,990,448.68
些事项，或在极少数情形下，如果合理预期在审计报告中沟通某事项造成的负面后果|||||||
||||买入返售金融资产|5|46,393,304,084.07|39,226,613,451.99
超过在公众利益方面产生的益处，我们确定不应在审计报告中沟通该事项。|||||||
||||应收款项|6|34,693,841,418.98|39,352,598,397.78
||||存出保证金|7|55,183,603,624.27|3,877,774,046.76
||||金融投资：|||
||||交易性金融资产|8|545,333,759,581.27|419,980,859,823.90
普||||其他债权投资|9|69,091,927,800.12|49,400,900,096.32
||||其他权益工具投资|10|164,813,439.95|16,635,500,511.08
华永道中天|注册会计师||||||
||||长期股权投资|12|9,127,983,944.45|8,876,581,406.90
会计师事务所(特殊普通合伙)|||||||
||||投资性房地产|13|956,861,209.26|1,060,211,371.39
|姜|昆|(项目合伙人)||||
|—|||固定资产|14|6,621,835,845.10|7,048,297,138.27
||——————————|||||
||||在建工程|15|1,178,523,715.68|482,344,110.41
||||无形资产|16|3,592,200,798.44|2,855,003,356.28
中||||商誉|17|8,675,972,708.73|10,776,698,306.15
国上海市|||||||
|注册会计师|||递延所得税资产|18|9,492,914,168.65|9,661,920,246.87
2022 年 3 月 28 日|||||||
||||使用权资产|||
•|||||19|1,893,724,187.44|1,765,774,476.70
||逯 一 斌||其他资产|20|6,074,264,963.00|14,434,530,119.63
||———————————|||||
||||资产总计||1,278,664,775,096.62   1,052,962,294,032.21|
page|88
2021年12月31日||||2021年12月31日|||
