page|21
项目|合并报表|||母公司报表||
|期末数（本年数）|上期期末数 （上年数）||增减（%） 期末数（本年数）|上期期末数 （上年数）|增减（%）
一、资产负债表项目||||||
货币资金||9,124,168,189.74  5,679,446,044.71||60.65  8,517,846,765.33  5,113,300,038.88||66.58
融出资金||4,939,745,176.33  3,666,522,434.03||34.73  4,939,745,176.33  3,666,522,434.03||34.73
衍生金融资产|1,086,517.00||0.00  不适用|1,086,517.00|0.00|不适用
存出保证金|388,309,754.90|352,518,422.15|10.15|9,708,849.52|5,134,290.88|89.10
应收利息|0.00|206,885,175.40|-100.00|0.00|204,381,591.89|-100.00
交易性金融资产|2,244,755,402.49||0.00  不适用  1,585,362,543.23||0.00|不适用
以公允价值计量且其变动计入当期损益的金融资产||0.00  1,427,115,780.94|-100.00||0.00  1,419,120,519.94|-100.00
可供出售金融资产||0.00  6,720,846,573.02|-100.00||0.00  6,425,665,517.26|-100.00
其他债权投资|12,578,607,111.27||0.00  不适用 12,578,607,111.27||0.00|不适用
其他权益工具投资|145,509,727.26||0.00  不适用|145,509,727.26|0.00|不适用
在建工程|1,077,876.10||0.00  不适用|0.00|0.00|不适用
递延所得税资产|100,470,145.31|58,436,238.92|71.93|97,839,073.17|57,989,634.63|68.72
资产总计||36,058,606,742.76 24,775,139,185.20||45.54 35,074,687,072.90 24,052,419,180.10||45.83
应付短期融资款|1,659,999,273.57|476,180,000.00||248.61  1,659,999,273.57|476,180,000.00|248.61
衍生金融负债|3,631,620.42||0.00  不适用|3,631,620.42|0.00|不适用
卖出回购金融资产款||8,916,507,406.73  4,932,270,000.00||80.78  8,916,507,406.73  4,932,270,000.00||80.78
代理买卖证券款||9,391,320,107.00  6,372,852,921.42||47.36  8,798,049,075.67  5,882,680,803.33||49.56
代理承销证券款|8,169,450.83|19,884,196.00|-58.91|8,169,450.83|19,884,196.00|-58.91
应付职工薪酬|301,155,972.65|165,753,924.26|81.69|284,846,231.98|157,253,177.15|81.14
应交税费|81,915,425.91|55,027,583.63|48.86|75,798,247.18|53,627,544.64|41.34
应付利息|0.00|48,827,083.66|-100.00|0.00|48,827,083.66|-100.00
预计负债|0.00|31,336.18|-100.00|0.00|31,336.18|-100.00
应付债券||4,235,225,753.60  1,788,372,785.32||136.82  4,235,225,753.60  1,788,372,785.32||136.82
递延所得税负债|93,786,367.64|20,065,538.69|367.40|65,836,832.84|19,043,262.03|245.72
其他负债|119,914,107.02|155,435,271.70|-22.85|57,922,141.60|99,791,954.13|-41.96
负债合计||24,853,738,942.18 14,072,870,413.86||76.61 24,148,067,916.27 13,515,764,168.20||78.67
其他综合收益|146,846,390.87|31,679,031.94|363.54|146,846,390.87|30,468,623.24|381.96
所有者权益总额||11,204,867,800.58 10,702,268,771.34||4.70 10,926,619,156.63 10,536,655,011.90||3.70
二、利润表项目||||||
page|22
营业收入||2,201,777,265.63  1,233,927,907.56||78.44  1,821,888,716.02  1,156,236,353.06||57.57
利息净收入|789,780,102.89|371,655,693.65|112.50|766,455,670.95|352,062,445.00|117.70
其中：利息收入|1,240,009,165.48|699,042,403.57||77.39  1,214,716,271.82|673,952,929.58|80.24
利息支出|450,229,062.59|327,386,709.92|37.52|448,260,600.87|321,890,484.58|39.26
手续费及佣金净收入|1,000,965,906.08|552,220,055.16|81.26|763,908,322.38|493,795,863.92|54.70
