page|98
项目|附注|本年发生额|上年发生额 (已重述)
一、营业总收入||63,419,928,668.12|50,699,358,636.89
其中：营业收入|(五)36|63,084,210,229.55|50,311,817,459.28
利息收入|(五)37|335,718,438.57|387,541,177.61
减：营业总成本||37,532,663,528.22|28,836,424,463.89
其中：营业成本|(五)36|37,532,663,528.22|28,836,424,463.89
税金及附加|(五)38|6,172,316,426.61|6,123,822,858.90
销售费用|(五)39|2,110,260,491.52|1,417,030,412.51
管理费用|(五)40|3,958,286,777.20|3,267,019,058.82
研发费用|(五)41|61,024,940.81|44,035,282.37
财务费用|(五)42|101,103,688.50|(653,354,566.08)
其中：利息费用||2,821,997,344.42|1,697,574,896.86
利息收入||2,759,479,728.70|2,394,100,273.54
加：其他收益|(五)43|65,112,567.91|50,094,260.45
投资收益|(五)44|5,976,021,142.21|4,083,579,360.18
其中：对联营企业和合营企业的投资收益||5,018,336,411.20|2,925,596,047.36
以摊余成本计量的金融资产终止确认收益(损失)||-|
公允价值变动收益|(五)45|501,346,749.73|340,965,647.00
信用减值利得(损失)|(五)46|(94,420,579.72)|
资产减值利得(损失)|(五)47|(218,279,375.61)|(961,730,905.06)
资产处置收益|(五)48|1,725,174.90|989,838.55
二、营业利润||19,715,778,494.68|15,178,279,327.60
加：营业外收入|(五)49|100,554,848.71|84,022,562.09
减：营业外支出|(五)50|307,113,403.94|151,389,226.43
三、利润总额||19,509,219,939.45|15,110,912,663.26
减：所得税费用|(五)51|4,044,201,426.15|3,006,252,448.59
四、净利润||15,465,018,513.30|12,104,660,214.67
(一)按持续经营性分类|||
1.持续经营净利润||15,465,018,513.30|12,104,660,214.67
2.终止经营净利润||-|-
(二)按所有权归属分类|||
1.归属于母公司股东的净利润||10,075,242,887.05|8,098,422,083.25
2.少数股东损益||5,389,775,626.25|4,006,238,131.42
五、其他综合收益的税后净额|(五)52|(92,469,164.92)|94,539,411.26
归属母公司股东的其他综合收益的税后净额||(91,852,929.44)|124,750,310.15
(一)不能重分类进损益的其他综合收益||3,372,261.05|-
1.重新计量设定受益计划变动额||-|-
2.权益法下不能转损益的其他综合收益||-|-
3.其他权益工具投资公允价值变动||3,372,261.05|
4.企业自身信用风险公允价值变动||-|
(二)将重分类进损益的其他综合收益||(95,225,190.49)|124,750,310.15
1.权益法下可转损益的其他综合收益||-|-
2.其他债权投资公允价值变动||-|
3.可供出售金融资产公允价值变动损益|||-
4.金融资产重分类计入其他综合收益的金额||-|
5.持有至到期投资重分类为可供出售金融资产损益|||-
6.其他债权投资信用减值准备||-|
7.现金流量套期损益的有效部分||-|-
8.外币财务报表折算差额||(95,225,190.49)|124,750,310.15
9.其他||-|-
归属于少数股东的其他综合收益的税后净额||(616,235.48)|(30,210,898.89)
六、综合收益总额||15,372,549,348.38|12,199,199,625.93
归属于母公司股东的综合收益总额||9,983,389,957.61|8,223,172,393.40
归属于少数股东的综合收益总额||5,389,159,390.77|3,976,027,232.53
七、每股收益|||
(一)基本每股收益||2.23|1.79
(二)稀释每股收益||2.23|1.79
