page|68
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||981,863,335.78|1,294,405,582.53
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||9,649,244.99|13,903,054.13
收到其他与经营活动有关的现金|78|16,790,443.71|23,916,110.51
经营活动现金流入小计||1,008,303,024.48|1,332,224,747.17
购买商品、接受劳务支付的现金||553,763,211.25|739,513,430.37
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||70,501,592.79|69,046,723.64
支付的各项税费||70,602,036.25|95,249,588.03
支付其他与经营活动有关的现金|78|43,220,650.11|118,133,344.90
经营活动现金流出小计||738,087,490.40|1,021,943,086.94
经营活动产生的现金流量净额||270,215,534.08|310,281,660.23
二、投资活动产生的现金流量：|||
收回投资收到的现金||185,000.00|
取得投资收益收到的现金||120,682.80|2,434,484.08
处置固定资产、无形资产和其他长期资产收回的现金净额||238,801.42|2,156,174.35
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||544,484.22|4,590,658.43
购建固定资产、无形资产和其他长期资产支付的现金||165,315,816.92|161,102,718.53
投资支付的现金||20,000,000.00|
质押贷款净增加额|||
page|69
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|78|30,006,606.98|
投资活动现金流出小计||215,322,423.90|161,102,718.53
投资活动产生的现金流量净额||-214,777,939.68|-156,512,060.10
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||700,598,992.50|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||179,090,709.17|173,680,241.70
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||879,689,701.67|173,680,241.70
偿还债务支付的现金||179,664,481.58|238,403,904.77
分配股利、利润或偿付利息支付的现金||77,834,719.00|97,840,423.81
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|61,166,054.72|
筹资活动现金流出小计||318,665,255.30|336,244,328.58
筹资活动产生的现金流量净额||561,024,446.37|-162,564,086.88
四、汇率变动对现金及现金等价物的影响||-36,650,755.50|31,804,626.08
五、现金及现金等价物净增加额||579,811,285.27|23,010,139.33
加：期初现金及现金等价物余额||571,600,252.19|548,590,112.86
六、期末现金及现金等价物余额||1,151,411,537.46|571,600,252.19
