page|64
项目|附注七|2020 年度|2019 年度
一、营业总收入||1,055,278,399.58|1,191,139,549.59
其中：营业收入|61|1,055,278,399.58|1,191,139,549.59
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||843,760,558.14|890,718,956.96
其中：营业成本|61|690,803,963.56|720,311,576.68
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|14,708,624.80|16,832,027.55
销售费用|63|5,764,570.90|69,173,743.12
管理费用|64|60,641,008.83|48,053,622.03
研发费用|65|32,516,899.76|48,721,651.84
财务费用|66|39,325,490.29|-12,373,664.26
其中：利息费用||4,636,813.16|6,801,952.94
利息收入||6,339,801.13|10,098,996.39
加：其他收益|67|3,318,856.90|4,254,655.84
投资收益（损失以“－”号填列）|68|120,682.80|2,434,484.08
其中：对联营企业和合营企业的投资收益|||
page|65
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70||984,410.33
信用减值损失（损失以“-”号填列）|71|7,171,072.24|-41,540.59
资产减值损失（损失以“-”号填列）|72|-96,978.14|-252,984.01
资产处置收益（损失以“－”号填列）|73|-469,928.98|-158,944.74
三、营业利润（亏损以“－”号填列）||221,561,546.26|307,640,673.54
加：营业外收入|74|9,374,379.34|13,558,414.26
减：营业外支出|75|5,578,546.21|3,504,579.88
四、利润总额（亏损总额以“－”号填列）||225,357,379.39|317,694,507.92
减：所得税费用|76|31,955,996.00|47,890,489.76
五、净利润（净亏损以“－”号填列）||193,401,383.39|269,804,018.16
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||193,401,383.39|269,804,018.16
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||193,401,395.66|269,804,019.94
2.少数股东损益（净亏损以“-”号填列）||-12.27|-1.78
六、其他综合收益的税后净额||-20,065,025.00|24,461,488.08
（一）归属母公司所有者的其他综合收益的税后净额||-20,065,018.52|24,461,434.79
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-20,065,018.52|24,461,434.79
page|66
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-20,065,018.52|24,461,434.79
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-6.48|53.29
七、综合收益总额||173,336,358.39|294,265,506.24
（一）归属于母公司所有者的综合收益总额||173,336,377.14|294,265,454.73
（二）归属于少数股东的综合收益总额||-18.75|51.51
八、每股收益：|||
（一）基本每股收益(元/股)||0.53|0.74
（二）稀释每股收益(元/股)||0.53|0.74
