page|75
编制单位：广东高乐股份有限公司|||||单位：人民币元
||2021年度||2020年度|
项   目|附注||||
||合并|公司|合并|公司
一、营业收入|五、35|439,686,407.17|320,955,318.68|507,658,167.72|381,770,486.96
减：营业成本|五、35|347,714,088.69|268,200,969.19|390,702,480.86|302,072,669.29
税金及附加|五、36|5,253,617.16|4,751,186.56|6,338,306.01|5,899,871.51
销售费用|五、37|45,590,161.75|25,162,525.75|59,722,706.34|37,487,348.07
管理费用|五、38|55,601,801.52|46,002,887.95|61,864,454.35|52,886,786.91
研发费用|五、39|24,616,338.31|11,883,450.61|29,076,638.46|12,465,256.97
财务费用|五、40|15,752,543.71|15,112,280.32|27,803,495.66|27,214,380.44
其中：利息费用||12,257,602.11|11,612,113.63|13,986,922.80|13,528,910.72
利息收入||61,784.39|21,824.98|156,510.66|50,959.67
加：其他收益|五、41|3,726,629.62|1,420,982.29|10,913,295.55|3,852,761.37
投资收益(损失以“-”号填列）|五、42|12,512,266.49|-312,080,000.00|58,701.80|
其中：对联营企业和合营企业的投资收益|||||
以摊余成本计量的金融资产终止确认|||||
收益（损失以“-”号填列）|||||
净敞口套期收益(损失以“-”号填列）|||||
公允价值变动收益(损失以“-”号填列）||21,401.03|||
信用减值损失(损失以“-”号填列）|五、43|-71,786,912.46|-71,392,685.74|-89,158,396.09|-3,861,310.28
资产减值损失(损失以“-”号填列）|五、44|-3,926,778.54|-3,934,782.59|-97,789,764.47|-10,423,869.03
资产处置收益(损失以“-”号填列）|五、45|1,208,635.00|1,307,220.88|-823,936.83|-92,307.03
二、营业利润(亏损以“-”号填列）||-113,086,902.83|-434,837,246.86|-244,650,014.00|-66,780,551.20
加：营业外收入|五、46|40,014.55|40,000.00|22,087.72|14,241.76
减：营业外支出|五、47|372,602.39|85,745.04|81,390.55|72,742.56
三、利润总额(亏损总额以“-”号填列）||-113,419,490.67|-434,882,991.90|-244,709,316.83|-66,839,052.00
减：所得税费用|五、48|1,799,207.22|-|7,175,889.48|
四、净利润(净亏损以“-”号填列）||-115,218,697.89|-434,882,991.90|-251,885,206.31|-66,839,052.00
其中：被合并方在合并前实现的净利润|||||
（一）按持续经营性分类||-115,218,697.89||-251,885,206.31|
1.持续经营净利润（净亏损以“-”号填列）||-115,218,697.89||-251,885,206.31|
2.终止经营净利润（净亏损以“-”号填列）|||||
（二）按所有权归属分类||-115,218,697.89||-251,885,206.31|
1.归属于母公司股东的净利润（净亏损以“－”号|||||
||-108,661,070.97||-191,207,609.16|
填列）|||||
2.少数股东损益（净亏损以“－”号填列）||-6,557,626.92||-60,677,597.15|
五、其他综合收益的税后净额|五、49|-1,500,113.23|-|-3,528,823.78|-
（一）不能重分类进损益的其他综合收益||-|-||-
1.重新计量设定受益计划变动额|||||
2.权益法下不能转损益的其他综合收益|||||
3.其他权益工具投资公允价值变动|||||
4.企业自身信用风险公允价值变动|||||
（二）将重分类进损益的其他综合收益||-1,500,113.23|-|-3,528,823.78|-
1.权益法下可转损益的其他综合收益|||||
2.其他债权投资公允价值变动|||||
3.金融资产重分类计入其他综合收益的金额|||||
4.其他债权投资信用减值准备|||||
5.现金流量套期储备|||||
6.外币财务报表折算差额||-1,500,113.23||-3,528,823.78|
六、综合收益总额||-116,718,811.12|-434,882,991.90|-255,414,030.09|-66,839,052.00
归属于母公司股东的综合收益总额||-110,161,184.20||-194,736,432.94|
归属于少数股东的综合收益总额||-6,557,626.92||-60,677,597.15|-
七、每股收益|||||
（一）基本每股收益||-0.11||-0.20|
（二）稀释每股收益||-0.11||-0.20|
