page|76
编制单位：广东高乐股份有限公司||||单位：人民币元
|2021年度||2020年度|
项      目附注||||
|合并|公司|合并|公司
一、经营活动产生的现金流量：||||
销售商品、提供劳务收到的现金|485,558,272.88|330,983,925.57|507,137,176.31|417,585,132.46
收到的税费返还|2,804,465.13|1,773,685.12|14,509,113.58|12,108,268.89
五、50    收到其他与经营活动有关的现金|6,125,823.98|781,512.78|35,469,384.06|7,606,981.11
经营活动现金流入小计|494,488,561.99|333,539,123.47|557,115,673.95|437,300,382.46
购买商品、接受劳务支付的现金|296,033,753.49|220,717,444.27|328,631,333.89|262,547,713.71
支付给职工以及为职工支付的现金|97,751,620.00|65,898,360.71|92,783,565.69|57,725,695.78
支付的各项税费|13,569,195.12|5,231,572.10|12,636,788.86|5,772,195.59
五、50    支付其他与经营活动有关的现金|48,383,964.71|45,831,563.37|78,952,256.72|91,687,420.97
经营活动现金流出小计|455,738,533.32|337,678,940.45|513,003,945.16|417,733,026.05
经营活动产生的现金流量净额|38,750,028.67|-4,139,816.98|44,111,728.79|19,567,356.41
二、投资活动产生的现金流量：||||
收回投资收到的现金|106,100,000.00|47,920,000.00|21,800,000.00|-
取得投资收益收到的现金|91,633.35|-|58,701.80|-
处置固定资产、无形资产和其他长期资产收回的||||
|1,691,437.50|1,346,437.50|791,400.00|780,000.00
现金净额||||
五、51    处置子公司及其他营业单位收到的现金净额|46,355,726.42|-||
收到其他与投资活动有关的现金|-|-||
投资活动现金流入小计|154,238,797.27|49,266,437.50|22,650,101.80|780,000.00
购建固定资产、无形资产和其他长期资产支付的现金|17,555,687.57|13,257,844.46|22,301,390.79|15,645,882.04
投资支付的现金|96,120,000.00|1,250,000.00|32,600,000.00|3,200,000.00
取得子公司及其他营业单位支付的现金净额|-|-||
支付其他与投资活动有关的现金|-|-||
投资活动现金流出小计|113,675,687.57|14,507,844.46|54,901,390.79|18,845,882.04
投资活动产生的现金流量净额|40,563,109.70|34,758,593.04|-32,251,288.99|-18,065,882.04
三、筹资活动产生的现金流量：||||
吸收投资收到的现金|-|-||
其中：子公司吸收少数股东投资收到的现金|-|-||
取得借款收到的现金|10,000,000.00|-|136,000,000.00|119,000,000.00
五、50    收到其他与筹资活动有关的现金|24,300,000.00|94,197,409.32||
筹资活动现金流入小计|34,300,000.00|94,197,409.32|136,000,000.00|119,000,000.00
偿还债务支付的现金|104,516,599.72|100,516,599.72|135,429,600.00|117,429,600.00
分配股利、利润或偿付利息支付的现金|12,231,187.07|11,612,113.63|14,733,913.22|14,275,901.14
其中：子公司支付给少数股东的股利、利润|-|-||
五、50    支付其他与筹资活动有关的现金|25,016,717.53|24,300,000.00|90,000.00|90,000.00
筹资活动现金流出小计|141,764,504.32|136,428,713.35|150,253,513.22|131,795,501.14
筹资活动产生的现金流量净额|-107,464,504.32|-42,231,304.03|-14,253,513.22|-12,795,501.14
四、汇率变动对现金及现金等价物的影响|-154,069.86|-62,191.89|-565,018.27|-362,914.60
五、现金及现金等价物净增加额|-28,305,435.81|-11,674,719.86|-2,958,091.69|-11,656,941.37
加：期初现金及现金等价物余额|45,719,644.79|18,880,015.06|48,677,736.48|30,536,956.43
六、期末现金及现金等价物余额|17,414,208.98|7,205,295.20|45,719,644.79|18,880,015.06
