page|161
项目|附注|本期金额|上期金额
一、营业总收入||69,014,052,347.03|61,673,702,450.01
其中：营业收入|五、（四十七）|69,014,052,347.03|61,673,702,450.01
二、营业总成本||64,807,380,690.84|58,528,425,540.91
其中：营业成本|五、（四十七）|55,780,767,281.43|51,233,326,115.24
税金及附加|五、（四十八）|297,832,860.98|257,593,330.50
销售费用|五、（四十九）|5,954,789,157.10|4,575,995,568.24
管理费用|五、（五十）|2,032,281,499.65|1,844,423,667.84
研发费用|五、（五十一）|874,719,981.67|611,934,929.42
财务费用|五、（五十二）|-133,010,089.99|5,151,929.67
其中：利息费用|五、（五十二）|417,830,623.16|363,343,678.98
利息收入|五、（五十二）|563,866,705.19|373,868,381.65
加：其他收益|五、（五十三）|309,880,132.62|327,985,438.11
投资收益（损失以“-”号填列）|五、（五十四）|193,587,591.55|344,170,979.46
其中：对联营企业和合营企业的投资收益|五、（五十四）|122,949,900.42|355,657,716.27
以摊余成本计量的金融资产终止确认收益||0.00|0.00
净敞口套期收益（损失以“-”号填列）||0.00|0.00
公允价值变动收益（损失以“-”号填列）|五、（五十五）|196,881,039.74|-8,469,244.97
信用减值损失（损失以“-”号填列）|五、（五十六）|-109,813,405.46|-115,551,971.54
资产减值损失（损失以“-”号填列）|五、（五十七）|-11,859,521.84|-23,949,972.06
资产处置收益（损失以“-”号填列）|五、（五十八）|694,506.95|2,954,109.08
三、营业利润（亏损以“-”号填列）||4,786,041,999.75|3,672,416,247.18
加：营业外收入|五、（五十九）|45,307,440.45|157,615,896.44
减：营业外支出|五、（六十）|108,278,496.71|90,950,431.33
四、利润总额（亏损总额以“-”号填列）||4,723,070,943.49|3,739,081,712.29
减：所得税费用|五、（六十一）|754,085,224.52|647,453,872.83
五、净利润（净亏损以“-”号填列）||3,968,985,718.97|3,091,627,839.46
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||3,968,985,718.97|3,091,627,839.46
2．终止经营净利润（净亏损以“-”号填列）||0.00|0.00
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||3,719,877,680.46|2,915,244,576.05
2．少数股东损益（净亏损以“-”号填列）||249,108,038.51|176,383,263.41
六、其他综合收益的税后净额||127,599.28|-18,800,542.58
归属于母公司所有者的其他综合收益的税后净额||197,141.82|-17,534,538.14
（一）不能重分类进损益的其他综合收益||5,997,492.35|-2,453,740.55
1．重新计量设定受益计划变动额||0.00|0.00
2．权益法下不能转损益的其他综合收益||0.00|0.00
3．其他权益工具投资公允价值变动||5,997,492.35|-2,453,740.55
4．企业自身信用风险公允价值变动||0.00|0.00
（二）将重分类进损益的其他综合收益||-5,800,350.53|-15,080,797.59
1．权益法下可转损益的其他综合收益||0.00|0.00
2．其他债权投资公允价值变动||-3,320,886.12|-5,064,017.77
3．金融资产重分类计入其他综合收益的金额||0.00|0.00
4．其他债权投资信用减值准备||3,135,329.66|0.00
5．现金流量套期储备||0.00|0.00
6．外币财务报表折算差额||-5,614,794.07|-10,016,779.82
7．其他||0.00|0.00
归属于少数股东的其他综合收益的税后净额||-69,542.54|-1,266,004.44
七、综合收益总额||3,969,113,318.25|3,072,827,296.88
归属于母公司所有者的综合收益总额||3,720,074,822.28|2,897,710,037.91
归属于少数股东的综合收益总额||249,038,495.97|175,117,258.97
八、每股收益：|||
（一）基本每股收益（元/股）|五、（六十二）|2.288|1.793
（二）稀释每股收益（元/股）|五、（六十二）|2.288|1.793
