page|163
项目|附注|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||67,860,021,518.02|56,854,889,752.63
收到的税费返还||22,760,738.59|10,092,786.52
收到其他与经营活动有关的现金|五、（六十三）|1,898,203,159.91|2,128,307,787.51
经营活动现金流入小计||69,780,985,416.52|58,993,290,326.66
购买商品、接受劳务支付的现金||51,994,027,989.72|46,804,034,341.38
支付给职工以及为职工支付的现金||5,304,932,872.57|4,709,778,927.12
支付的各项税费||2,896,111,387.90|2,647,983,120.79
支付其他与经营活动有关的现金|五、（六十三）|3,912,416,411.96|4,246,308,914.28
经营活动现金流出小计||64,107,488,662.15|58,408,105,303.57
经营活动产生的现金流量净额||5,673,496,754.37|585,185,023.09
二、投资活动产生的现金流量|||
收回投资收到的现金||444,950,705.24|101,400,000.00
取得投资收益收到的现金||242,550,262.69|326,320,081.45
处置固定资产、无形资产和其他长期资产收回的现金净额||6,613,590.80|6,145,599.58
处置子公司及其他营业单位收到的现金净额||32,567,053.37|0.00
收到其他与投资活动有关的现金|五、（六十三）|223,335.60|101,163.83
投资活动现金流入小计||726,904,947.70|433,966,844.86
购建固定资产、无形资产和其他长期资产支付的现金||1,254,917,256.11|876,502,745.66
投资支付的现金||402,162,500.00|610,775,000.00
取得子公司及其他营业单位支付的现金净额||1,394,013.57|0.00
支付其他与投资活动有关的现金|五、（六十三）|0.00|34,745,591.46
投资活动现金流出小计||1,658,473,769.68|1,522,023,337.12
投资活动产生的现金流量净额||-931,568,821.98|-1,088,056,492.26
三、筹资活动产生的现金流量|||
吸收投资收到的现金||10,090,000.00|213,714,660.64
其中：子公司吸收少数股东投资收到的现金||10,090,000.00|213,714,660.64
取得借款收到的现金||8,826,175,084.79|8,917,817,000.71
收到其他与筹资活动有关的现金|五、（六十三）|3,064,902,899.69|2,918,786,199.38
筹资活动现金流入小计||11,901,167,984.48|12,050,317,860.73
偿还债务支付的现金||8,657,267,209.78|6,158,578,483.96
分配股利、利润或偿付利息支付的现金||1,325,963,962.68|1,377,826,111.80
其中：子公司支付给少数股东的股利、利润||59,907,309.79|87,911,332.23
支付其他与筹资活动有关的现金|五、（六十三）|3,411,916,305.06|3,074,537,071.74
筹资活动现金流出小计||13,395,147,477.52|10,610,941,667.50
筹资活动产生的现金流量净额||-1,493,979,493.04|1,439,376,193.23
四、汇率变动对现金及现金等价物的影响||282,828.77|-4,994,458.19
五、现金及现金等价物净增加额||3,248,231,268.12|931,510,265.87
加：期初现金及现金等价物余额||17,765,132,774.10|16,833,622,508.23
六、期末现金及现金等价物余额||21,013,364,042.22|17,765,132,774.10
