page|113
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,879,286,349.85|1,800,348,510.60
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||16,630,632.78|10,951,344.00
收到其他与经营活动有关的现金|七、78|88,307,613.17|120,631,761.56
经营活动现金流入小计||2,984,224,595.80|1,931,931,616.16
购买商品、接受劳务支付的现金||1,474,143,467.75|998,727,227.30
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||689,916,569.09|501,590,664.26
支付的各项税费||92,029,827.76|55,154,930.49
支付其他与经营活动有关的现金|七、78|125,929,853.12|156,806,108.30
经营活动现金流出小计||2,382,019,717.72|1,712,278,930.35
经营活动产生的现金流量净额||602,204,878.08|219,652,685.81
二、投资活动产生的现金流量：|||
收回投资收到的现金||514,000,000.00|36,023,940.10
page|114
取得投资收益收到的现金||2,812,958.91|
处置固定资产、无形资产和其他长期资产收回的现金净额||660,872.96|57,180.35
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|2,225,150.98|4,892,954.64
投资活动现金流入小计||519,698,982.85|40,974,075.09
购建固定资产、无形资产和其他长期资产支付的现金||564,496,903.97|228,303,485.22
投资支付的现金||1,137,999,381.20|20,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,702,496,285.17|248,303,485.22
投资活动产生的现金流量净额||-1,182,797,302.32|-207,329,410.13
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||696,803,773.58|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||167,250,104.08|
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||864,053,877.66|
偿还债务支付的现金||117,350,104.08|
分配股利、利润或偿付利息支付的现金||2,191,029.83|73,558.04
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||25,707,026.35|
筹资活动现金流出小计||145,248,160.26|73,558.04
筹资活动产生的现金流量净额||718,805,717.40|-73,558.04
四、汇率变动对现金及现金等价物的影响||-1,827,353.70|-935,708.78
五、现金及现金等价物净增加额||136,385,939.46|11,314,008.86
加：期初现金及现金等价物余额||279,369,367.09|268,055,358.23
六、期末现金及现金等价物余额||415,755,306.55|279,369,367.09
