page|42
项目|附 注|2020 年度|2019 年度
一、营业总收入||1,562,396,998.04|1,733,320,223.81
其中：营业收入||1,562,396,998.04|1,733,320,223.81
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,625,427,266.00|1,767,976,627.86
其中：营业成本||1,221,564,572.39|1,179,830,172.75
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||10,948,071.18|14,869,410.82
销售费用||165,915,782.20|327,119,406.57
管理费用||127,157,691.53|136,333,642.00
研发费用||3,218,089.27|2,852,213.22
财务费用||96,623,059.43|106,971,782.50
其中：利息费用||96,972,789.27|106,368,067.55
利息收入||855,181.77|675,792.53
加：其他收益||52,038,927.44|52,162,493.02
投资收益（损失以“－”号填列）||5,168,452.06|6,421,824.87
其中：对联营企业和合营企业的投资收益||6,123,608.94|6,421,824.87
以摊余成本计量的金融资产终止确|||
page|43
认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-9,120,237.68|1,701,474.37
资产减值损失（损失以“-”号填列）||-152,538.99|22,871.29
资产处置收益（损失以“－”号填列）||62,582,136.88|
三、营业利润（亏损以“－”号填列）||47,486,471.75|25,652,259.50
加：营业外收入||836,170.95|3,849,142.19
减：营业外支出||10,545,162.70|1,838,946.05
四、利润总额（亏损总额以“－”号填列）||37,777,480.00|27,662,455.64
减：所得税费用||18,679,482.30|17,817,728.12
五、净利润（净亏损以“－”号填列）||19,097,997.70|9,844,727.52
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||19,097,997.70|9,844,727.52
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||16,429,102.12|9,582,825.13
2.少数股东损益（净亏损以“-”号填列）||2,668,895.58|261,902.39
六、其他综合收益的税后净额||-765,667.00|-1,373,009.14
（一）归属母公司所有者的其他综合收益的税后净额||-765,667.00|-1,373,009.14
1．不能重分类进损益的其他综合收益||-765,667.00|-1,373,009.14
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-765,667.00|-1,373,009.14
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||18,332,330.70|8,471,718.38
（一）归属于母公司所有者的综合收益总额||15,663,435.12|8,209,815.99
（二）归属于少数股东的综合收益总额||2,668,895.58|261,902.39
八、每股收益：|||
（一）基本每股收益(元/股)||0.03|0.02
（二）稀释每股收益(元/股)||0.03|0.02
