page|45
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,649,180,712.27|1,784,908,012.60
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||550,253.58|415.54
收到其他与经营活动有关的现金||54,169,465.92|75,470,631.84
经营活动现金流入小计||1,703,900,431.77|1,860,379,059.98
购买商品、接受劳务支付的现金||1,279,389,564.53|1,332,807,793.25
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||259,771,379.80|278,370,882.61
支付的各项税费||55,925,953.71|49,493,637.69
支付其他与经营活动有关的现金||60,571,830.49|77,165,819.76
经营活动现金流出小计||1,655,658,728.53|1,737,838,133.31
经营活动产生的现金流量净额||48,241,703.24|122,540,926.67
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||68,241,004.20|2,048,584.00
处置子公司及其他营业单位收到的现金净额||11,491,027.93|
page|46
收到其他与投资活动有关的现金|||
投资活动现金流入小计||79,732,032.13|2,048,584.00
购建固定资产、无形资产和其他长期资产支付的现金||163,941,381.42|96,703,826.99
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||163,941,381.42|96,703,826.99
投资活动产生的现金流量净额||-84,209,349.29|-94,655,242.99
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||2,880,000.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||2,652,160,000.00|1,492,660,000.00
收到其他与筹资活动有关的现金|||434,400,000.00
筹资活动现金流入小计||2,655,040,000.00|1,927,060,000.00
偿还债务支付的现金||2,384,020,000.00|1,841,450,000.00
分配股利、利润或偿付利息支付的现金||74,424,134.59|82,614,538.63
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||133,143,500.00|78,992,000.00
筹资活动现金流出小计||2,591,587,634.59|2,003,056,538.63
筹资活动产生的现金流量净额||63,452,365.41|-75,996,538.63
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||27,484,719.36|-48,110,854.95
加：期初现金及现金等价物余额||149,779,025.07|197,889,880.02
六、期末现金及现金等价物余额||177,263,744.43|149,779,025.07
