page|95
项目|附注|2020 年度|2019 年度 （经重述）
一、营业总收入|七、61|169,439,187,471|173,583,125,512
其中：营业收入|七、61|169,439,187,471|173,583,125,512
二、营业总成本||156,274,071,555|165,566,215,155
其中：营业成本|七、61|139,881,388,454|148,251,680,605
税金及附加|七、62|1,795,392,652|1,833,364,890
销售费用|七、63|147,613,052|116,948,508
管理费用|七、64|4,945,866,256|4,555,421,408
研发费用||667,592,105|65,021,719
财务费用|七、66|8,836,219,036|10,743,778,025
其中：利息费用||9,229,618,488|10,798,316,023
利息收入||292,759,365|264,969,925
加：其他收益|七、67|964,814,710|916,585,687
投资收益（损失以“-”号填列）|七、68|1,693,845,368|1,407,113,395
其中：对联营企业和合营企业的投资收益||1,803,834,935|1,187,119,427
以摊余成本计量的金融资产终止确认收益||-41,482,083|-10,528,358
公允价值变动收益（损失以||-1,566,103|19,491,687
page|96
“-”号填列）|||
信用减值损失（损失以“-”号填列）|七、71|-120,015,483|-74,556,813
资产减值损失（损失以“-”号填列）|七、72|-6,113,663,647|-5,937,079,203
资产处置收益（损失以“-”号填列）|七、73|39,156,991|141,000,698
三、营业利润（亏损以“-”号填列）||9,627,687,752|4,489,465,808
加：营业外收入|七、74|284,982,971|391,351,175
减：营业外支出|七、75|1,098,542,092|217,651,062
四、利润总额（亏损总额以“-”号填列）||8,814,128,631|4,663,165,921
减：所得税费用|七、77|3,110,408,146|2,435,003,995
五、净利润（净亏损以“-”号填列）||5,703,720,485|2,228,161,926
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“-”号填列）||5,703,720,485|2,228,161,926
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||4,564,989,863|1,565,963,763
2.少数股东损益（净亏损以“-”号填列）||1,138,730,622|662,198,163
六、其他综合收益的税后净额||-971,038,162|570,888,167
（一）归属母公司所有者的其他综合收益的税后净额|七、78|-778,380,498|731,669,176
1．不能重分类进损益的其他综合收益||-310,459,882|312,328,697
（1）权益法下不能转损益的其他综合收益||-178,501,491|367,528,644
（2）其他权益工具投资公允价值变动||-131,958,391|-55,199,947
2．将重分类进损益的其他综合收益||-467,920,616|419,340,479
（1）权益法下可转损益的其他综合收益||-4,347,440|1,167,397
（2）现金流量套期储备||220,541,978|132,648,447
（3）外币财务报表折算差额||-684,115,154|285,524,635
（二）归属于少数股东的其他综合收益的税后净额|七、78|-192,657,664|-160,781,009
七、综合收益总额||4,732,682,323|2,799,050,093
（一）归属于母公司所有者的综合收益总额||3,786,609,365|2,297,632,939
（二）归属于少数股东的综合收益总额||946,072,958|501,417,154
八、每股收益：|||
（一）基本每股收益(元/股)||0.18|0.06
（二）稀释每股收益(元/股)||0.18|0.06
