page|82
编制单位：新兴铸管股份有限公司|||（除特别注明外，金额单位均为人民币元）
项目|附注六|本期金额|上期金额
一、营业收入|注释46|42,960,921,062.41|40,889,707,108.27
减： 营业成本|注释46|37,377,187,895.31|35,153,633,490.41
税金及附加|注释47|380,581,485.30|282,397,976.30
销售费用|注释48|411,003,477.02|1,185,311,517.94
管理费用|注释49|782,138,577.52|731,752,639.02
研发费用|注释50|412,860,827.64|321,109,589.83
财务费用|注释51|418,289,693.28|394,620,664.09
其中：利息费用||615,214,552.07|588,439,650.93
利息收入||227,957,442.53|207,284,847.17
加： 其他收益|注释52|93,386,082.04|120,242,974.76
投资收益（损失以“-”号填列）|注释53|427,186,111.41|230,035,047.71
其中：对联营企业和合营企业的投资收益||413,566,151.90|150,399,686.30
以摊余成本计量的金融资产终止确认收益|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|注释54||-7,851,897.04
信用减值损失（损失以“-”号填列）|注释55|-607,057,053.06|-429,259,750.22
资产减值损失（损失以“-”号填列）|注释56|-697,058,262.69|-711,179,642.37
资产处置收益（损失以“-”号填列）|注释57|398,288,857.26|9,901,941.42
二、营业利润（亏损以“- ”号填列）||2,793,604,841.30|2,032,769,904.94
加： 营业外收入|注释58|36,068,062.78|49,861,642.55
减： 营业外支出|注释59|121,751,461.66|33,721,044.48
三、利润总额（亏损总额以“- ”号填列）||2,707,921,442.42|2,048,910,503.01
减： 所得税费用|注释60|744,147,249.26|462,792,635.52
四、净利润（净亏损以“- ”号填列）||1,963,774,193.16|1,586,117,867.49
其中：同一控制下企业合并被合并方在合并前实现的净利润|||
（一）按经营持续性分类|||
持续经营净利润（净亏损以“-”号填列）||1,963,774,193.16|1,586,117,867.49
终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
归属于母公司所有者的净利润（净亏损以“-”号填列）||1,812,404,802.67|1,497,088,402.69
少数股东损益（净亏损以“-”号填列）||151,369,390.49|89,029,464.80
五、其他综合收益的税后净额||-53,282,472.50|-16,758,266.66
归属于母公司所有者的其他综合收益的税后净额||-51,711,683.50|-17,008,292.58
（一）不能重分类进损益的其他综合收益||-49,355,500.00|-17,431,628.12
1. 重新计量设定受益计划净变动额|||
2. 权益法下不能转损益的其他综合收益|||
3. 其他权益工具投资公允价值变动||-49,355,500.00|-17,431,628.12
4. 企业自身信用风险公允价值变动|||
5. 其他|||
（二）将重分类进损益的其他综合收益||-2,356,183.50|423,335.54
1. 权益法下可转损益的其他综合收益|||
2. 其他债权投资公允价值变动|||
3. 金融资产重分类计入其他综合收益的金额|||
4. 其他债权投资信用减值准备|||
5. 现金流量套期储备|||
6. 外币财务报表折算差额||-2,356,183.50|423,335.54
7. 一揽子处置子公司在丧失控制权之前产生的投资收益|||
8. 其他资产转换为公允价值模式计量的投资性房地产|||
9. 其他|||
归属于少数股东的其他综合收益的税后净额||-1,570,789.00|250,025.92
六、综合收益总额||1,910,491,720.66|1,569,359,600.83
归属于母公司所有者的综合收益总额||1,760,693,119.17|1,480,080,110.11
归属于少数股东的综合收益总额||149,798,601.49|89,279,490.72
七、每股收益：|||
（一）基本每股收益||0.4541|0.3751
（二）稀释每股收益||0.4541|0.3751
