page|83
|合并现金流量表||
|2020年度||
编制单位：新兴铸管股份有限公司|||（除特别注明外，金额单位均为人民币元）
项 目|附注六|本期金额|上期金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||41,004,716,176.75|40,347,502,435.24
收到的税费返还||100,571,587.03|90,713,577.02
收到其他与经营活动有关的现金|注释61|660,628,652.63|524,638,233.14
经营活动现金流入小计||41,765,916,416.41|40,962,854,245.40
购买商品、接受劳务支付的现金||33,981,043,747.22|32,303,806,138.82
支付给职工以及为职工支付的现金||2,076,776,561.63|2,171,749,197.81
支付的各项税费||1,970,308,282.13|2,231,885,524.04
支付其他与经营活动有关的现金|注释61|618,172,831.32|1,127,084,451.52
经营活动现金流出小计||38,646,301,422.30|37,834,525,312.19
经营活动产生的现金流量净额||3,119,614,994.11|3,128,328,933.21
二、投资活动产生的现金流量：|||
收回投资所收到的现金||1,185,516,306.76|2,092,850,013.53
取得投资收益收到的现金||14,052,663.11|48,203,160.00
处置固定资产、无形资产和其他长期资产收回的现金净额||28,139,173.52|38,547,582.84
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|注释61|715,838,694.00|1,859,271,325.75
投资活动现金流入小计||1,943,546,837.39|4,038,872,082.12
购建固定资产、无形资产和其他长期资产支付的现金||883,475,733.87|2,976,854,095.49
投资支付的现金||598,377,500.00|1,707,530,000.00
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|注释61|7,000,210.65|1,390.36
投资活动现金流出小计||1,488,853,444.52|4,684,385,485.85
投资活动产生的现金流量净额||454,693,392.87|-645,513,403.73
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||610,000,000.00|52,000,000.00
其中：子公司吸收少数股东投资收到的现金||610,000,000.00|52,000,000.00
取得借款收到的现金||9,624,745,648.32|9,721,826,246.25
发行债券收到的现金||598,200,000.00|2,976,000,000.00
收到其他与筹资活动有关的现金|注释61|113,176,955.68|
筹资活动现金流入小计||10,946,122,604.00|12,749,826,246.25
偿还债务支付的现金||11,225,474,563.09|12,806,379,683.73
分配股利、利润或偿付利息支付的现金||1,192,815,298.05|1,397,005,536.98
其中：子公司支付给少数股东的股利、利润|||23,884,292.94
支付其他与筹资活动有关的现金|注释61|322,307,879.15|188,472,953.80
筹资活动现金流出小计||12,740,597,740.29|14,391,858,174.51
筹资活动产生的现金流量净额||-1,794,475,136.29|-1,642,031,928.26
四、汇率变动对现金及现金等价物的影响||-28,938,867.10|-588,587.75
五、现金及现金等价物净增加额||1,750,894,383.59|840,195,013.47
加：期初现金及现金等价物余额||7,388,268,395.10|6,548,073,381.63
六、期末现金及现金等价物余额||9,139,162,778.69|7,388,268,395.10
