page|79
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,738,539,298.96|1,853,814,951.62
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||248,586.13
收到其他与经营活动有关的现金|（七十九）|45,513,490.90|294,167,426.19
经营活动现金流入小计||2,784,052,789.86|2,148,230,963.94
购买商品、接受劳务支付的现金||2,441,665,450.36|1,716,944,196.13
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||67,825,985.78|44,153,803.23
支付的各项税费||44,996,041.99|30,594,308.66
支付其他与经营活动有关的现金|（七十九）|117,985,390.24|267,698,744.98
经营活动现金流出小计||2,672,472,868.37|2,059,391,053.00
经营活动产生的现金流量净额||111,579,921.49|88,839,910.94
二、投资活动产生的现金流量：|||
收回投资收到的现金|||21,283,404.15
取得投资收益收到的现金||10,761,891.10|
处置固定资产、无形资产和其他长期资产收回的现金净额||5,191,076.79|3,601,744.25
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||15,952,967.89|24,885,148.40
page|80
购建固定资产、无形资产和其他长期资产支付的现金||286,665,400.34|323,468,548.01
投资支付的现金||2,144,600.00|21,109,373.01
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（七十九）||9,097.01
投资活动现金流出小计||288,810,000.34|344,587,018.03
投资活动产生的现金流量净额||-272,857,032.45|-319,701,869.63
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||280,340,458.63|37,400,000.00
其中：子公司吸收少数股东投资收到的现金||26,232,000.00|37,400,000.00
取得借款收到的现金||357,300,532.25|393,181,170.41
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||637,640,990.88|430,581,170.41
偿还债务支付的现金||324,422,614.97|236,370,791.97
分配股利、利润或偿付利息支付的现金||41,442,500.13|11,171,425.70
其中：子公司支付给少数股东的股利、利润||2,400,000.00|1,200,000.00
支付其他与筹资活动有关的现金|（七十九）|580,205.86|1,300,000.00
筹资活动现金流出小计||366,445,320.96|248,842,217.67
筹资活动产生的现金流量净额||271,195,669.92|181,738,952.74
四、汇率变动对现金及现金等价物的影响||369,689.90|-2,202,559.50
五、现金及现金等价物净增加额||110,288,248.86|-51,325,565.45
加：期初现金及现金等价物余额||234,741,569.59|286,067,135.04
六、期末现金及现金等价物余额||345,029,818.45|234,741,569.59
