page|90
项目|附 注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金||740,649,736.58|681,603,820.07
结算备付金|||
拆出资金|||
交易性金融资产||78,615,222.71|
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
page|91
应收票据||42,338,764.00|210,799,564.74
应收账款||737,529,280.03|522,774,194.52
应收款项融资||243,408,540.36|
预付款项||73,169,788.62|94,786,085.23
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||40,242,617.97|32,285,066.38
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||1,482,362,053.13|800,898,807.44
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||38,159,008.11|17,499,772.43
流动资产合计||3,476,475,011.51|2,360,647,310.81
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||13,901,600.00
其他债权投资|||
持有至到期投资|||
长期应收款|||2,222,328.15
长期股权投资||165,044,280.42|153,435,462.78
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产||572,267,178.80|480,441,834.18
在建工程||12,631,426.67|26,212,476.50
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||178,440,084.01|86,424,392.09
开发支出|||
商誉||598,674,514.93|392,760,556.14
长期待摊费用||7,074,115.11|5,591,524.82
递延所得税资产||43,363,067.91|14,542,354.56
其他非流动资产||1,330,943.10|
非流动资产合计||1,578,825,610.95|1,175,532,529.22
资产总计||5,055,300,622.46|3,536,179,840.03
流动负债：|||
短期借款||285,055,777.36|120,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债||2,681,009.00|
以公允价值计量且其变动计入当期损益的金融负债|||8,073,509.50
page|92
衍生金融负债|||
应付票据||315,382,700.53|108,965,629.94
应付账款||899,641,441.07|591,069,781.56
预收款项||1,168,113,966.50|685,663,994.61
合同负债|||
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||138,038,953.98|36,964,196.32
应交税费||67,174,644.79|45,734,776.34
其他应付款||195,562,532.54|109,417,647.71
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|||
流动负债合计||3,071,651,025.77|1,705,889,535.98
非流动负债：|||
保险合同准备金|||
长期借款||225,656,561.17|
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬||43,886,592.86|
预计负债||14,890,116.39|
递延收益||68,424,238.74|62,873,695.34
递延所得税负债||7,804,347.08|2,082,153.30
其他非流动负债|||
非流动负债合计||360,661,856.24|64,955,848.64
负债合计||3,432,312,882.01|1,770,845,384.62
所有者权益（或股东权益）：|||
实收资本（或股本）||267,535,854.00|267,675,854.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||696,394,493.23|774,331,677.75
减：库存股||193,281,898.45|46,089,232.14
其他综合收益||901,966.13|2,046,961.32
专项储备|||
盈余公积||108,662,176.08|75,547,511.34
一般风险准备|||
未分配利润||726,448,922.23|649,358,220.83
归属于母公司所有者权益（或股东||1,606,661,513.22|1,722,870,993.10
page|93
权益）合计|||
少数股东权益||16,326,227.23|42,463,462.31
所有者权益（或股东权益）合计||1,622,987,740.45|1,765,334,455.41
负债和所有者权益（或股东权益）总计||5,055,300,622.46|3,536,179,840.03
