page|121
项     目|附注六|2021年12月31日|2020年12月31日
资产：|||
货币资金|注释1||12,332,030,422.75          10,951,131,021.90
其中：客户资金存款|||9,990,048,353.53           8,193,682,554.76
结算备付金|注释2||2,558,219,120.46           2,379,100,088.00
其中：客户备付金|||2,446,921,329.46           2,287,871,177.95
融出资金|注释3||8,148,017,143.05           7,400,757,113.38
衍生金融资产|注释4|54,610.00|
存出保证金|注释5||802,256,089.47             744,878,747.69
应收款项|注释6||98,055,900.27             169,323,523.34
买入返售金融资产|注释7||972,870,075.44           2,055,964,889.83
金融投资：|||
交易性金融资产|注释8||24,507,919,178.87          22,592,572,498.77
债权投资|注释9||263,452,484.68             456,168,931.89
其他债权投资|注释10||970,426,547.78           2,088,805,149.07
长期股权投资|注释11||1,659,879,203.08           1,067,276,173.44
投资性房地产|注释12||15,666,107.28              16,474,089.01
固定资产|注释13||188,201,266.95             179,004,039.77
在建工程|注释14||58,641,526.64              52,427,024.00
使用权资产|注释15||160,408,039.28             163,033,163.26
无形资产|注释16||223,016,230.62             188,018,189.26
递延所得税资产|注释17||486,461,663.34             464,734,648.09
商誉|注释18||19,522,493.37              19,882,791.61
其他资产|注释19||283,225,421.38           1,387,323,474.69
资产总计||53,748,323,524.71|52,376,875,557.00
page|122
项     目|附注六|2021年12月31日|2020年12月31日
负债：|||
短期借款|注释22||256,191,822.27             315,977,554.88
应付短期融资款|注释23||7,032,271,969.93           4,154,657,809.90
拆入资金|注释24||2,900,742,263.92           3,694,418,222.23
交易性金融负债|注释25||971,171,013.72           1,356,226,583.04
衍生金融负债|注释4||465,376.83                  57,980.91
卖出回购金融资产款|注释26||10,548,472,328.09          12,200,308,194.73
代理买卖证券款|注释27||12,571,797,812.48          10,555,230,551.25
应付职工薪酬|注释28||768,133,013.64             561,932,538.17
应交税费|注释29||121,620,959.74             131,604,084.55
应付款项|注释30||143,594,220.52              65,874,572.60
合同负债|注释31||6,872,133.68              26,495,681.41
长期借款|注释32||1,001,741.67
应付债券|注释33||3,685,225,541.41           4,610,250,342.02
租赁负债|注释34||157,162,685.95             157,698,672.45
递延所得税负债|注释17||38,563,107.66              14,241,536.99
其他负债|注释35||401,959,351.47             344,423,399.69
负债合计||39,604,243,601.31|38,190,399,466.49
股东权益：|||
股本|注释36||4,642,884,700.00           4,642,884,700.00
