page|67
项目|附 注|2021 年度|2020 年度
一、营业总收入||2,394,314,320.13|2,236,106,610.57
其中：营业收入||2,394,314,320.13|2,236,106,610.57
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,205,668,784.71|2,052,625,000.17
其中：营业成本||1,827,206,658.99|1,677,290,359.33
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
page|68
保单红利支出|||
分保费用|||
税金及附加||16,195,025.23|15,455,786.63
销售费用||46,326,337.78|80,217,636.97
管理费用||229,368,746.74|207,744,990.34
研发费用||102,544,067.00|88,619,050.39
财务费用||-15,972,051.03|-16,702,823.49
其中：利息费用||160,324.62|19,821.83
利息收入||10,588,487.14|9,843,255.54
加：其他收益||12,434,157.47|9,311,887.68
投资收益（损失以“－”号填列）||30,372,999.01|16,010,484.31
其中：对联营企业和合营企业的投资收益||2,000,292.89|-802,091.91
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||2,856,558.00|15,072,369.99
信用减值损失（损失以“-”号填列）||-20,459,182.94|-8,696,150.41
资产减值损失（损失以“-”号填列）||-29,879,365.38|-25,223,348.13
资产处置收益（损失以“－”号填列）||-1,216,833.98|-308,960.02
三、营业利润（亏损以“－”号填列）||182,753,867.60|189,647,893.82
加：营业外收入||3,340,320.71|4,271,581.45
减：营业外支出||7,011,886.77|9,605,285.20
四、利润总额（亏损总额以“－”号填列）||179,082,301.54|184,314,190.07
减：所得税费用||18,004,828.41|22,423,490.13
五、净利润（净亏损以“－”号填列）||161,077,473.13|161,890,699.94
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||161,077,473.13|161,890,699.94
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||152,895,335.72|150,221,465.12
2.少数股东损益（净亏损以“-”号填列）||8,182,137.41|11,669,234.82
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
page|69
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||161,077,473.13|161,890,699.94
（一）归属于母公司所有者的综合收益总额||152,895,335.72|150,221,465.12
（二）归属于少数股东的综合收益总额||8,182,137.41|11,669,234.82
八、每股收益：|||
（一）基本每股收益(元/股)||0.38|0.37
（二）稀释每股收益(元/股)||0.38|0.37
