page|62
项目|附注|2021 年 12 月 31日|2020 年 12 月 31日
流动资产：|||
货币资金||633,383,910.10|604,103,645.79
结算备付金|||
拆出资金|||
交易性金融资产|||
page|63
衍生金融资产|||
应收票据||222,381,335.88|214,873,326.71
应收账款||566,728,352.94|563,454,123.81
应收款项融资||87,579,046.85|107,540,118.48
预付款项||36,212,973.65|35,999,718.65
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||2,637,952.81|10,647,803.52
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||398,134,482.73|390,372,604.15
合同资产|||
持有待售资产|||
一年内到期的非流动资产||12,033,279.69|14,733,279.69
其他流动资产||7,982,379.00|2,106,634.75
流动资产合计||1,967,073,713.65|1,943,831,255.55
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款||94,330,798.33|110,346,076.60
长期股权投资||9,548,495.17|7,548,202.28
其他权益工具投资|||
其他非流动金融资产||318,538,713.25|315,682,155.25
投资性房地产||27,705,519.04|30,712,916.93
固定资产||664,277,076.55|667,887,696.45
在建工程||50,163,965.56|23,450,134.43
生产性生物资产|||
油气资产|||
使用权资产||4,206,796.13|
无形资产||113,409,499.83|115,950,617.92
开发支出|||
商誉||460,038.82|460,038.82
长期待摊费用||4,456,420.15|5,897,257.08
递延所得税资产||9,549,494.02|10,415,719.02
其他非流动资产||57,236,903.23|25,702,984.04
非流动资产合计||1,353,883,720.08|1,314,053,798.82
资产总计||3,320,957,433.73|3,257,885,054.37
流动负债：|||
短期借款|||
page|64
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||1,038,809.79|7,631,958.91
应付账款||133,915,027.26|343,696,176.44
预收款项||700,000.00|778,680.57
合同负债||209,027,854.87|15,056,181.91
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||5,275,087.11|5,663,498.85
应交税费||13,434,827.06|13,187,765.61
其他应付款||79,749,839.37|66,160,774.65
其中：应付利息|||
应付股利||2,868,096.64|11,721,198.38
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||808,415.17|
其他流动负债||27,910,039.38|627,384.26
流动负债合计||471,859,900.01|452,802,421.20
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债||3,589,584.57|
长期应付款||6,605,881.13|6,299,175.07
长期应付职工薪酬|||
预计负债|||0.00
递延收益||12,946,627.92|13,083,709.47
递延所得税负债||5,457,963.10|5,735,533.14
其他非流动负债|||
非流动负债合计||28,600,056.72|25,118,417.68
负债合计||500,459,956.73|477,920,838.88
所有者权益（或股东权益）：|||
实收资本（或股本）||404,311,320.00|404,311,320.00
其他权益工具|||
其中：优先股|||
page|65
永续债|||
资本公积||850,299,625.16|820,484,630.97
减：库存股|||
其他综合收益|||
专项储备||5,675,893.34|4,906,141.03
盈余公积||264,594,638.15|244,674,549.15
一般风险准备|||
未分配利润||1,202,109,724.27|1,150,490,926.77
归属于母公司所有者权益（或股东权益）合计||2,726,991,200.92|2,624,867,567.92
少数股东权益||93,506,276.08|155,096,647.57
所有者权益（或股东权益）合计||2,820,497,477.00|2,779,964,215.49
负债和所有者权益（或股东权益）总计||3,320,957,433.73|3,257,885,054.37
