page|71
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,251,008,745.07|1,833,610,921.29
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,614,687.17|3,746,953.42
收到其他与经营活动有关的现金||60,872,365.57|94,540,596.46
经营活动现金流入小计||2,314,495,797.81|1,931,898,471.17
购买商品、接受劳务支付的现金||1,218,621,481.14|888,445,876.73
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||624,981,197.56|558,490,050.30
支付的各项税费||114,808,902.14|119,139,932.61
支付其他与经营活动有关的现金||122,842,866.58|148,465,176.49
经营活动现金流出小计||2,081,254,447.42|1,714,541,036.13
经营活动产生的现金流量净额||233,241,350.39|217,357,435.04
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||28,372,731.31|15,671,972.28
处置固定资产、无形资产和其他长期资产收回的现金净额||11,160,883.04|4,811,852.99
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||17,741,222.26|308,772,516.27
投资活动现金流入小计||57,274,836.61|329,256,341.54
购建固定资产、无形资产和其他长期资产支付的现金||152,274,486.56|79,598,537.45
page|72
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||300,000,000.00
投资活动现金流出小计||152,274,486.56|379,598,537.45
投资活动产生的现金流量净额||-94,999,649.95|-50,342,195.91
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金||1,754,700.00|
筹资活动现金流入小计||1,754,700.00|
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||95,104,140.76|72,923,867.95
其中：子公司支付给少数股东的股利、利润||14,241,876.76|5,448,416.41
支付其他与筹资活动有关的现金||11,049,104.01|
筹资活动现金流出小计||106,153,244.77|72,923,867.95
筹资活动产生的现金流量净额||-104,398,544.77|-72,923,867.95
四、汇率变动对现金及现金等价物的影响||-533,072.98|-10,800.82
五、现金及现金等价物净增加额||33,310,082.69|94,080,570.36
加：期初现金及现金等价物余额||600,073,827.41|505,993,257.05
六、期末现金及现金等价物余额||633,383,910.10|600,073,827.41
