page|99
项              目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||11,966,487,715.76|2,158,984,165.81
客户贷款及垫款净减少额|||
收到原保险合同保费取得的现金||10,591,489,418.04|9,672,404,579.95
收取利息、手续费及佣金的现金||1,653,213,087.02|1,227,204,270.32
代理买卖业务收到的现金净额||3,193,888,931.25|2,460,024,973.31
收到的税费返还||32,255,456.32|
收到其他与经营活动有关的现金|六、62|1,155,490,514.61|373,600,758.46
经营活动现金流入小计||28,592,825,123.00|15,892,218,747.85
购买商品、接受劳务支付的现金||11,764,991,715.09|2,372,462,769.55
支付再保险业务现金净额||15,779,361.58|65,821,863.90
支付原保险合同赔付款项的现金||1,752,480,934.74|1,801,180,279.04
支付利息、手续费及佣金的现金||1,222,078,640.81|1,096,688,664.27
支付保单红利的现金||138,497,911.92|137,593,102.11
保户储金及投资款净减少额||155,144,029.45|82,864,605.52
支付给职工以及为职工支付的现金||1,588,499,201.79|1,532,260,617.84
支付的各项税费||475,667,460.99|487,991,562.89
支付其他与经营活动有关的现金|六、62|2,150,097,055.84|1,944,599,199.21
经营活动现金流出小计||19,263,236,312.21|9,521,462,664.33
经营活动产生的现金流量净额||9,329,588,810.79|6,370,756,083.52
二、投资活动产生的现金流量：|||
收回投资收到的现金||67,630,852,972.93|45,509,664,191.77
取得投资收益收到的现金||3,180,648,742.39|3,160,998,644.48
处置固定资产、无形资产和其他长期资产所收回的现金净额||179,575.78|91,217.82
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||70,811,681,291.10|48,670,754,054.07
购建固定资产、无形资产和其他长期资产所支付的现金||232,936,927.13|121,518,194.00
投资支付的现金||77,954,020,873.07|55,251,327,382.87
保户质押贷款净增加额||562,599,274.03|504,953,202.69
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||15,843,431.40|
投资活动现金流出小计||78,765,400,505.63|55,877,798,779.56
投资活动产生的现金流量净额||-7,953,719,214.53|-7,207,044,725.49
三、筹资活动产生的现金流量：|||
取得借款所收到的现金||450,674,855.67|414,223,886.00
发行债券收到的现金|||998,412,000.00
收到其他与筹资活动有关的现金|六、62|3,523,000,000.00|2,029,200,000.00
筹资活动现金流入小计||3,973,674,855.67|3,441,835,886.00
偿还债务所支付的现金||465,450,462.68|176,521,872.00
分配股利、利润或偿付利息所支付的现金||583,626,038.07|256,441,136.42
其中：子公司支付给少数股东的股利、利润|||9,942,201.52
支付其他与筹资活动有关的现金|六、62|489,866,655.03|883,261,815.80
筹资活动现金流出小计||1,538,943,155.78|1,316,224,824.22
筹资活动产生的现金流量净额||2,434,731,699.89|2,125,611,061.78
四、汇率变动对现金及现金等价物的影响||-21,559,338.57|-61,879,110.22
五、现金及现金等价物净增加额|六、62|3,789,041,957.58|1,227,443,309.59
加：期初现金及现金等价物余额|六、62|8,540,138,088.92|7,312,694,779.33
六、期末现金及现金等价物余额|六、62|12,329,180,046.50|8,540,138,088.92
