page|53
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,214,379,331.82|2,145,903,144.85
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,073,073.40|2,185,012.88
收到其他与经营活动有关的现金|七、78.（1）|52,556,698.02|37,956,308.65
经营活动现金流入小计||2,269,009,103.24|2,186,044,466.38
购买商品、接受劳务支付的现金||1,063,398,483.77|1,640,238,581.07
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||419,425,678.44|380,378,579.16
支付的各项税费||19,687,114.33|28,227,271.41
支付其他与经营活动有关的现金|七、78.（2）|61,700,112.12|49,287,611.50
经营活动现金流出小计||1,564,211,388.66|2,098,132,043.14
经营活动产生的现金流量净额||704,797,714.58|87,912,423.24
二、投资活动产生的现金流量：|||
收回投资收到的现金|||500,000,000.00
取得投资收益收到的现金|||8,379,452.05
处置固定资产、无形资产和其他长期资产收回的现金净额||25,137,028.56|25,582,590.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78.（3）|6,887,588.77|
投资活动现金流入小计||32,024,617.33|533,962,042.05
购建固定资产、无形资产和其他长||147,529,026.55|107,813,481.11
page|54
期资产支付的现金|||
投资支付的现金|||500,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78.（4）|4,479,495.59|6,681,761.73
投资活动现金流出小计||152,008,522.14|614,495,242.84
投资活动产生的现金流量净额||-119,983,904.81|-80,533,200.79
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||280,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||280,000,000.00
偿还债务支付的现金||120,000,000.00|410,000,000.00
分配股利、利润或偿付利息支付的现金||17,905,134.66|20,166,179.47
其中：子公司支付给少数股东的股利、利润|||732,626.34
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||137,905,134.66|430,166,179.47
筹资活动产生的现金流量净额||-137,905,134.66|-150,166,179.47
四、汇率变动对现金及现金等价物的影响||172,467.42|278,486.65
五、现金及现金等价物净增加额||447,081,142.53|-142,508,470.37
加：期初现金及现金等价物余额||782,096,731.63|924,605,202.00
六、期末现金及现金等价物余额||1,229,177,874.16|782,096,731.63
