page|61
项目|附注|2021 年度|2020 年度
一、营业总收入||9,309,218,098.53|7,855,038,369.93
其中：营业收入|七、40|9,309,218,098.53|7,855,038,369.93
利息收入|||
已赚保费|||
手续费及佣金收入|||
page|62
二、营业总成本||6,353,994,821.79|5,229,976,101.80
其中：营业成本|七、40|5,211,940,603.42|4,391,049,320.56
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、41|77,850,191.28|72,111,289.53
销售费用|七、42|111,936,941.69|106,886,801.42
管理费用|七、43|226,877,906.36|199,950,201.51
研发费用|七、44|636,061,767.68|308,639,192.72
财务费用|七、45|89,327,411.36|151,339,296.06
其中：利息费用||29,405,587.24|44,104,910.61
利息收入||39,383,799.83|50,185,017.55
加：其他收益|七、46|131,880,986.31|60,819,499.64
投资收益（损失以“－”号填列）|七、47|6,954,223.29|10,644,732.30
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、48|10,318,452.41|
信用减值损失（损失以“-”号填列）|七、49|19,448,762.29|-37,046,006.62
资产减值损失（损失以“-”号填列）|七、50|-66,698,584.09|-52,533,100.54
资产处置收益（损失以“－”号填列）|七、51|-685,996.87|-774,084.77
三、营业利润（亏损以“－”号填列）||3,056,441,120.08|2,606,173,308.14
加：营业外收入|七、52|13,411,474.05|4,653,492.35
减：营业外支出|七、53|1,519,790.57|1,714,023.24
四、利润总额（亏损总额以“－”号填列）||3,068,332,803.56|2,609,112,777.25
减：所得税费用|七、54|369,274,435.28|347,864,216.90
五、净利润（净亏损以“－”号填列）||2,699,058,368.28|2,261,248,560.35
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,699,058,368.28|2,261,248,560.35
2.终止经营净利润（净亏损以“－”号填列）|||
page|63
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,693,599,997.73|2,253,874,553.32
2.少数股东损益（净亏损以“-”号填列）||5,458,370.55|7,374,007.03
六、其他综合收益的税后净额||-32,840,701.71|-870,936.82
（一）归属母公司所有者的其他综合收益的税后净额||-32,840,701.71|-870,936.82
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-32,840,701.71|-870,936.82
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-32,840,701.71|-870,936.82
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||2,666,217,666.57|2,260,377,623.53
（一）归属于母公司所有者的综合收益总额||2,660,759,296.02|2,253,003,616.50
（二）归属于少数股东的综合收益总额||5,458,370.55|7,374,007.03
八、每股收益：|||
（一）基本每股收益(元/股)||2.06|1.73
（二）稀释每股收益(元/股)||2.06|1.73
