page|161
资                产|附注|2020 年 12 月 31 日 合并|2019 年 12 月 31 日 合并|2020 年 12 月 31 日 公司|2019 年 12 月 31 日 公司
|||||
流动资产|||||
货币资金|四(1)|25,887,751|33,902,215|12,356,124|15,993,595
交易性金融资产|四(2)|15,899,648|11,970,008|2,791,671|7,817,143
应收票据|四(3)、十七(1)|1,696,549|4,660,366|3,384,471|7,445,608
应收账款|四(4)、十七(2)|7,696,449|7,194,464|109,948,570|93,518,152
应收款项融资||-|497,858|-|-
预付款项|四(5)|24,786,724|26,988,913|32,467,438|28,845,889
其他应收款|四(6)、十七(3)|1,241,863|1,601,848|27,068,577|23,356,245
存货|四(7)|24,251,743|26,780,104|16,054,132|18,125,245
合同资产||1,846|—|-|—
其他流动资产|四(8)|5,997,641|7,154,210|1,381,234|2,275,473
一年内到期的非流动资产|四(9)|23,392|11,488|10,388|-
流动资产合计||107,483,606|120,761,474|205,462,605|197,377,350
|||||
非流动资产|||||
债权投资|四(10)|-|10,442|-|10,442
长期应收款|四(11)|926,167|947,264|968,405|969,335
长期股权投资|四(14)、十七(4)|39,351,953|40,258,417|49,565,907|46,128,979
其他权益工具投资|四(12)|5,558,069|4,598,371|5,550,363|4,553,304
其他非流动金融资产|四(13)|1,975,740|12,310,358|1,975,740|1,728,539
投资性房地产|四(15)|6,886,199|6,150,434|522,113|689,445
固定资产|四(16)|18,099,415|17,807,820|2,038,845|1,953,071
在建工程|四(17)|3,462,978|4,343,334|9,580|35,888
无形资产|四(18)|13,882,029|14,694,322|333,511|346,740
开发支出|四(18)|41,138|42,927|3,973|4,290
商誉|四(19)|6,385,345|7,477,796|-|-
长期待摊费用|四(20)|1,510,520|2,524,836|30,465|103,251
递延所得税资产|四(22)|5,670,490|4,130,170|-|-
其他非流动资产|四(21)|841,551|797,080|200,369|119,515
非流动资产合计||104,591,594|116,093,571|61,199,271|56,642,799
|||||
资产总计||212,075,200|236,855,045|266,661,876|254,020,149
page|162
负  债  及  股  东  权  益|附注|2020 年 12 月 31 日 合并|2019 年 12 月 31 日 合并|2020 年 12 月 31 日 公司|2019 年 12 月 31 日 公司
|||||
流动负债|||||
短期借款|四(24)|23,745,691|18,954,821|13,330,086|17,968,900
衍生金融负债||-|400|-|400
应付票据|四(25)|21,021,224|26,158,849|20,547,201|18,694,516
应付账款|四(26)|31,051,572|44,380,475|83,125,458|84,632,541
预收款项|四(27)|286,609|7,157,577|35,710|51,780,639
合同负债|四(28)|11,518,134|—|75,641,829|—
应付职工薪酬|四(29)|942,048|1,386,161|71,976|135,790
应交税费|四(30)|900,749|1,713,287|121,707|196,239
其他应付款|四(31)|15,800,050|12,612,303|6,632,184|5,973,231
预计负债||-|151,177|-|10
一年内到期的非流动负债|四(32)|17,684,600|7,662,708|11,406,698|7,458,690
其他流动负债|四(33)|1,651,050|1,079,223|67,117|9,764
流动负债合计||124,601,727|121,256,981|210,979,966|186,850,720
|||||
非流动负债|||||
长期借款|四(34)|-|7,720,895|-|2,083,000
应付债券|四(35)|499,777|8,488,802|499,777|8,488,802
长期应付款|四(36)|986,801|2,440,760|380,000|380,000
递延收益|四(37)|858,156|2,231,956|49,609|382,029
递延所得税负债|四(22)|6,886,085|7,567,680|1,484,590|1,847,311
其他非流动负债|四(38)|1,410,851|3,158|67,209|-
非流动负债合计||10,641,670|28,453,251|2,481,185|13,181,142
|||||
负债合计||135,243,397|149,710,232|213,461,151|200,031,862
|||||
股东权益|||||
股本|四(39)|9,310,040|9,310,040|9,310,040|9,310,040
资本公积|四(40)|33,228,244|37,249,004|37,092,537|37,150,905
减：库存股|四(41)|(2,305,900)|(1,899,961)|(2,305,900)|(1,899,961)
其他综合收益|四(42)|(1,355,258)|197,575|(1,094,266)|(618,037)
盈余公积|四(43)|1,809,757|1,748,672|1,809,757|1,748,672
一般风险准备||136,665|38,699|136,665|38,699
未分配利润|四(44)|36,033,899|41,277,886|8,251,892|8,257,969
归属于本公司股东权益合计||76,857,447|87,921,915|53,200,725|53,988,287
少数股东权益|六(1)(b)|(25,644)|(777,102)|-|-
股东权益合计||76,831,803|87,144,813|53,200,725|53,988,287
|||||
负债及股东权益总计||212,075,200|236,855,045|266,661,876|254,020,149
page|163
项目|附注|2020 年度合并|2019 年度合并|2020 年度公司|2019 年度公司
|||||
