page|4
一、公司信息|
股票简称|苏宁易购 股票代码 002024
变更后的股票简称（如有）|无
股票上市证券交易所|深圳证券交易所
公司的中文名称|苏宁易购集团股份有限公司
公司的中文简称|苏宁易购
公司的外文名称（如有）|SUNING.COM CO.,LTD.
公司的外文名称缩写（如有）|SUNING.COM
公司的法定代表人|张近东
注册地址|江苏省南京市山西路 8 号金山大厦 1-5 层
注册地址的邮政编码|210009
办公地址|江苏省南京市玄武区苏宁大道 1 号
办公地址的邮政编码|210042
公司网址|http://www.suning.cn、http://www.suning.com
电子信箱|stock@suning.com
二、联系人和联系方式|
|董事会秘书 证券事务代表
姓名|黄巍 刘结
联系地址|江苏省南京市玄武区苏宁大道 1 号
电话|025-84418888-888122/888480
传真|025-84418888-2-888480
电子信箱|stock@suning.com
三、信息披露及备置地点|
|公司选定的信息披露媒体的名称  《证券时报》、《中国证券报》、《上海证券报》、《证券日报》
登载年度报告的中国证监会指定|
|http://www.cninfo.com.cn
网站的网址|
公司年度报告备置地点|公司董事会秘书办公室
四、注册变更情况|
组织机构代码|91320000608950987L
公司上市以来主营业务的变化情|
|无变更
况|
历次控股股东的变更情况|无变更
