page|82
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,496,750,582.93|2,623,922,145.01
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||9,274,010.96|
收到其他与经营活动有关的现金||35,488,768.44|37,470,218.72
经营活动现金流入小计||1,541,513,362.33|2,661,392,363.73
购买商品、接受劳务支付的现金||1,488,250,426.25|2,161,422,763.58
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
page|83
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||116,293,250.39|115,766,367.87
支付的各项税费||46,705,039.14|75,190,413.73
支付其他与经营活动有关的现金||87,456,417.32|63,214,746.90
经营活动现金流出小计||1,738,705,133.10|2,415,594,292.08
经营活动产生的现金流量净额||-197,191,770.77|245,798,071.65
二、投资活动产生的现金流量：|||
收回投资收到的现金||965,460,000.00|1,850,570,000.00
取得投资收益收到的现金||8,793,195.10|12,069,840.93
处置固定资产、无形资产和其他长期资产收回的现金净额||16,252.15|231,194.57
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||974,269,447.25|1,862,871,035.50
购建固定资产、无形资产和其他长期资产支付的现金||22,447,531.86|8,608,627.68
投资支付的现金||770,120,000.00|2,012,801,375.89
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||792,567,531.86|2,021,410,003.57
投资活动产生的现金流量净额||181,701,915.39|-158,538,968.07
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||157,525.97|
收到其他与筹资活动有关的现金||2,029,216.09|
筹资活动现金流入小计||2,186,742.06|
偿还债务支付的现金||157,525.97|
分配股利、利润或偿付利息支付的现金||53,464,842.50|43,363,200.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||843,130.66|
筹资活动现金流出小计||54,465,499.13|43,363,200.00
筹资活动产生的现金流量净额||-52,278,757.07|-43,363,200.00
四、汇率变动对现金及现金等价物的影响||1,168,350.64|971,252.29
五、现金及现金等价物净增加额||-66,600,261.81|44,867,155.87
加：期初现金及现金等价物余额||395,333,385.04|350,466,229.17
六、期末现金及现金等价物余额||328,733,123.23|395,333,385.04
