page|7
|第二节  公司简介和主要财务指标
一、  公司信息|
公司的中文名称|南京泉峰汽车精密技术股份有限公司
公司的中文简称|泉峰汽车
公司的外文名称|NANJING CHERVON AUTO PRECISION TECHNOLOGY CO.,
|LTD
公司的外文名称缩写|CHERVON-AUTO
公司的法定代表人|潘龙泉
二、  联系人和联系方式|
|董事会秘书 证券事务代表
姓名 刘志文|戴伟伟
联系地址|南京市江宁区将军大道159号 南京市江宁区将军大道159号
电话 025-84998999|025-84998999
传真 025-52786586|025-52786586
电子信箱 ir@chervonauto.com|ir@chervonauto.com
三、 基本情况简介|
公司注册地址|南京市江宁区秣陵街道将军大道159号（江宁开发区）
公司注册地址的邮政编码|210006
公司办公地址|南京市江宁区秣陵街道将军大道159号（江宁开发区）
公司办公地址的邮政编码|210006
公司网址|www.chervonauto.com
电子信箱|ir@chervonauto.com
四、 信息披露及备置地点|
公司选定的信息披露媒体名称|上海证券报、中国证券报、证券时报、证券日报
登载年度报告的中国证监会指定网站的网址 www.sse.com.cn|
公司年度报告备置地点|南京市江宁区将军大道159号泉峰汽车证券部
