page|68
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||26,731,971,220.27|21,753,726,351.15
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七、78|244,416,470.66|504,361,901.14
经营活动现金流入小计||26,976,387,690.93|22,258,088,252.29
page|69
购买商品、接受劳务支付的现金||8,016,440,254.23|6,859,042,125.75
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||40,217,264.65|43,100,389.82
支付的各项税费||3,373,308,280.40|2,685,566,496.81
支付其他与经营活动有关的现金|七、78|78,880,929.00|68,529,811.45
经营活动现金流出小计||11,508,846,728.28|9,656,238,823.83
经营活动产生的现金流量净额||15,467,540,962.65|12,601,849,428.46
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||74,646,139.94|61,541.70
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|22,363,705.75|520,320,666.97
投资活动现金流入小计||97,009,845.69|520,382,208.67
购建固定资产、无形资产和其他长期资产支付的现金||3,452,886,812.94|5,026,994,913.83
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78|251,411,165.78|519,365,105.07
投资活动现金流出小计||3,704,297,978.72|5,546,360,018.90
投资活动产生的现金流量净额||-3,607,288,133.03|-5,025,977,810.23
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||30,658,248,086.62
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||7,888,160,000.00|28,922,000,000.00
收到其他与筹资活动有关的现金|七、78||1,000,000,000.00
筹资活动现金流入小计||7,888,160,000.00|60,580,248,086.62
偿还债务支付的现金||13,605,360,000.00|11,276,860,000.00
page|70
分配股利、利润或偿付利息支付的现金||5,172,785,912.75|6,196,406,374.13
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|2,360,711.25|52,799,357,922.60
筹资活动现金流出小计||18,780,506,624.00|70,272,624,296.73
筹资活动产生的现金流量净额||-10,892,346,624.00|-9,692,376,210.11
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额|七、79|967,906,205.62|-2,116,504,591.88
加：期初现金及现金等价物余额|七、79|7,949,645,566.30|10,066,150,158.18
六、期末现金及现金等价物余额|七、79|8,917,551,771.92|7,949,645,566.30
