page|68
项目|附注七|2020 年度|2019 年度
一、营业总收入|61|31,895,876,863.19|29,835,741,351.66
其中：营业收入||31,895,876,863.19|29,835,741,351.66
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|61|31,646,538,215.61|29,504,538,035.22
其中：营业成本||28,621,822,441.45|26,898,553,940.97
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|222,888,623.99|186,593,028.97
销售费用|63|350,500,198.16|297,008,318.31
管理费用|64|909,939,551.46|936,621,263.85
研发费用|65|851,932,388.28|483,616,655.61
财务费用|66|689,455,012.27|702,144,827.51
其中：利息费用||758,205,780.99|729,905,211.91
利息收入||131,430,754.61|117,967,227.61
加：其他收益|67|22,016,596.53|20,227,774.24
投资收益（损失以“－”号填列）|68|37,053,794.21|26,502,580.37
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
page|69
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70|-2,211,797.86|993,571.26
信用减值损失（损失以“-”号填列）|71|-8,993,328.70|673,802.67
资产减值损失（损失以“-”号填列）|72|-5,255.90|-4,487,009.04
资产处置收益（损失以“－”号填列）|73|-497,572.17|6,869,338.06
三、营业利润（亏损以“－”号填列）||296,701,083.69|381,983,374.00
加：营业外收入|74|24,968,270.62|1,791,128.05
减：营业外支出|75|80,757,431.22|26,398,122.85
四、利润总额（亏损总额以“－”号填列）||240,911,923.09|357,376,379.20
减：所得税费用|76|12,132,492.42|119,366,086.78
五、净利润（净亏损以“－”号填列）||228,779,430.67|238,010,292.42
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||228,779,430.67|238,010,292.42
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||228,417,309.10|256,443,838.55
2.少数股东损益（净亏损以“-”号填列）||362,121.57|-18,433,546.13
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
page|70
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||228,779,430.67|238,010,292.42
（一）归属于母公司所有者的综合收益总额||228,417,309.10|256,443,838.55
（二）归属于少数股东的综合收益总额||362,121.57|-18,433,546.13
八、每股收益：|||
（一）基本每股收益(元/股)||0.080|0.096
（二）稀释每股收益(元/股)||0.080|0.096
