page|63
项目|附注七|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|1|8,337,412,282.87|8,650,337,889.28
结算备付金|||
拆出资金|||
交易性金融资产|2|21,558,911.20|23,770,709.06
衍生金融资产|||
应收票据|||
应收账款|5|564,247,974.11|543,318,847.68
应收款项融资|6|1,504,772,895.57|1,571,716,804.76
预付款项|7|676,949,939.79|471,690,431.77
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|325,162,166.28|381,610,275.37
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|9|9,710,591,222.10|8,114,458,593.97
合同资产|10|52,766,684.42|
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|13|304,211,887.79|274,466,378.10
流动资产合计||21,497,673,964.13|20,031,369,929.99
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|17|208,599,520.57|161,675,327.02
其他权益工具投资|18|100,000,000.00|100,000,000.00
其他非流动金融资产|||
投资性房地产|||
固定资产|21|13,532,312,675.03|14,663,287,661.82
在建工程|22|2,532,103,947.18|1,183,913,925.13
生产性生物资产|||
page|64
油气资产|||
使用权资产|||
无形资产|26|2,083,095,294.10|1,694,517,844.53
开发支出|||
商誉|||
长期待摊费用|||
递延所得税资产|30|177,254,039.06|101,861,207.08
其他非流动资产|31|376,239,019.90|289,609,019.90
非流动资产合计||19,009,604,495.84|18,194,864,985.48
资产总计||40,507,278,459.97|38,226,234,915.47
流动负债：|||
短期借款|32|4,469,000,000.00|3,969,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|35|10,325,788,404.09|10,007,195,000.00
应付账款|36|6,589,852,069.43|5,739,973,092.42
预收款项|37|369,367.88|1,312,229,565.43
合同负债|38|1,364,525,724.36|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|39|121,442,768.70|45,022,384.96
应交税费|40|70,346,533.23|27,725,137.64
其他应付款|41|904,438,285.36|744,621,595.69
其中：应付利息|||
应付股利||1,920,000.00|
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|43|2,036,810,752.34|2,613,076,596.50
其他流动负债|44|194,378,103.17|46,631,780.45
流动负债合计||26,076,952,008.56|24,505,475,153.09
非流动负债：|||
保险合同准备金|||
长期借款|45|1,619,080,000.00|1,100,000,000.00
应付债券|||
其中：优先股|||
永续债|||
page|65
租赁负债|||
长期应付款|48|1,604,400,225.40|1,622,271,346.33
长期应付职工薪酬|||
预计负债|||
递延收益|51|264,776,184.39|236,709,513.13
递延所得税负债|30|92,598,122.64|61,722,717.13
其他非流动负债|||
非流动负债合计||3,580,854,532.43|3,020,703,576.59
负债合计||29,657,806,540.99|27,526,178,729.68
所有者权益（或股东权益）：|||
实收资本（或股本）|53|2,872,421,386.00|2,872,421,386.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|55|4,529,992,481.24|4,529,992,481.24
减：库存股|||
其他综合收益|||
专项储备|58|79,638,411.21|85,643,936.08
盈余公积|59|1,723,034,456.37|1,723,034,456.37
一般风险准备|||
未分配利润|60|755,982,091.63|671,185,851.83
归属于母公司所有者权益（或股东权益）合计||9,961,068,826.45|9,882,278,111.52
少数股东权益||888,403,092.53|817,778,074.27
所有者权益（或股东权益）合计||10,849,471,918.98|10,700,056,185.79
负债和所有者权益（或股东权益）总计||40,507,278,459.97|38,226,234,915.47
