page|72
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||33,061,390,119.81  28,727,478,540.56
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
page|73
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||4,912,231.38|2,341,371.26
收到其他与经营活动有关的现金|78|243,063,925.83|260,808,014.51
经营活动现金流入小计|||33,309,366,277.02  28,990,627,926.33
购买商品、接受劳务支付的现金|||28,418,266,508.56  25,005,596,352.48
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,929,344,719.98|2,038,762,659.83
支付的各项税费||669,134,655.97|591,476,114.29
支付其他与经营活动有关的现金|78|578,787,642.70|546,315,062.81
经营活动现金流出小计|||31,595,533,527.21  28,182,150,189.41
经营活动产生的现金流量净额||1,713,832,749.81|808,477,736.92
二、投资活动产生的现金流量：|||
收回投资收到的现金|||19,641,805.95
取得投资收益收到的现金||2,129,600.66|1,080,581.55
处置固定资产、无形资产和其他长期资产收回的现金净额||60,944.66|4,861,504.53
page|74
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|78|56,624,281.26|5,938,080.10
投资活动现金流入小计||58,814,826.58|31,521,972.13
购建固定资产、无形资产和其他长期资产支付的现金||1,713,368,725.24|639,842,309.83
投资支付的现金||12,000,000.00|35,280,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|78|10,096,213.80|60,400.00
投资活动现金流出小计||1,735,464,939.04|675,182,709.83
投资活动产生的现金流量净额||-1,676,650,112.46|-643,660,737.70
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||80,000,000.00|2,026,969,458.05
其中：子公司吸收少数股东投资收到的现金||80,000,000.00|413,870,000.00
取得借款收到的现金||6,245,000,000.00|4,269,000,000.00
收到其他与筹资活动有关的现金|78|1,503,096,249.00|2,825,778,043.73
筹资活动现金流入小计||7,828,096,249.00|9,121,747,501.78
偿还债务支付的现金||5,883,920,000.00|5,019,132,000.00
分配股利、利润或偿付利息支付的现金||914,023,557.70|979,158,512.21
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|2,120,297,673.44|2,796,949,461.61
筹资活动现金流出小计||8,918,241,231.14|8,795,239,973.82
筹资活动产生的现金流量净额||-1,090,144,982.14|326,507,527.96
四、汇率变动对现金及现金等价物的影响||-3,628,057.67|207,311.64
五、现金及现金等价物净||-1,056,590,402.46|491,531,838.82
page|75
增加额|||
加：期初现金及现金等价物余额||2,478,097,913.52|1,986,566,074.70
六、期末现金及现金等价物余额||1,421,507,511.06|2,478,097,913.52
