page|79
项目|附注五|2019 年度|2018 年度
一、营业总收入||1,755,374,980.38|1,749,948,948.69
其中：营业收入|（五十九）|1,755,374,980.38|1,749,948,948.69
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,739,694,412.70|1,682,410,526.84
其中：营业成本|（五十九）|1,647,909,912.69|1,597,184,181.64
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十）|3,016,890.79|2,918,194.25
销售费用|（六十一）|27,510,937.82|32,648,258.04
管理费用|（六十二）|54,099,685.77|47,219,747.63
研发费用||0.00|0.00
财务费用|（六十四）|7,156,985.63|2,440,145.28
其中：利息费用||5,306,279.21|6,893,317.91
利息收入||2,423,933.43|3,412,569.12
加：其他收益|（六十五）|263,443.26|13,723.00
|投资收益（损失以“－”号填列）  （六十六）|7,187,995.42|6,647,736.56
其中：对联营企业和合营企业的投资收益||3,959,569.38|3,450,230.68
page|80
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（六十八）|-348,619.00|
信用减值损失（损失以“-”号填列）|（六十九）|-77,570,925.41|
资产减值损失（损失以“-”号填列）|（七十）|-69,172,093.60|-21,692,612.20
资产处置收益（损失以“－”号填列）|（七十一）|75,984.55|1,813.42
三、营业利润（亏损以“－”号填列）||-123,883,647.10|52,509,082.63
加：营业外收入|（七十二）|4,836,966.57|4,059,027.45
减：营业外支出|（七十三）|663,282.70|399,256.44
四、利润总额（亏损总额以“－”号填列）||-119,709,963.23|56,168,853.64
减：所得税费用|（七十四）|-11,846,943.32|13,211,037.38
五、净利润（净亏损以“－”号填列）||-107,863,019.91|42,957,816.26
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-107,863,019.91|42,957,816.26
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-98,807,436.93|44,988,785.85
2.少数股东损益（净亏损以“-”号填列）||-9,055,582.98|-2,030,969.59
六、其他综合收益的税后净额||164,403.20|500,871.60
（一）归属母公司所有者的其他综合收益的税后净额||164,403.20|500,871.60
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||164,403.20|500,871.60
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
page|81
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||164,403.20|500,871.60
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-107,698,616.71|43,458,687.86
（一）归属于母公司所有者的综合收益总额||-98,643,033.73|45,489,657.45
（二）归属于少数股东的综合收益总额||-9,055,582.98|-2,030,969.59
八、每股收益：|||
（一）基本每股收益(元/股)||-0.75|0.34
（二）稀释每股收益(元/股)||-0.75|0.34
