page|82
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,970,638,717.36|1,983,400,849.46
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||103.40|
收到其他与经营活动有关的现金|（七十六）|496,780,073.39|750,912,849.70
经营活动现金流入小计||2,467,418,894.15|2,734,313,699.16
购买商品、接受劳务支付的现金||1,778,563,375.01|1,886,338,220.73
page|83
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||47,890,889.07|46,980,959.13
支付的各项税费||34,138,746.91|38,554,853.26
支付其他与经营活动有关的现金|（七十六）|434,984,455.04|884,792,450.45
经营活动现金流出小计||2,295,577,466.03|2,856,666,483.57
经营活动产生的现金流量净额||171,841,428.12|-122,352,784.41
二、投资活动产生的现金流量：|||
收回投资收到的现金||268,518,001.04|180,000,000.00
取得投资收益收到的现金||1,719,750.37|3,070,879.73
处置固定资产、无形资产和其他长期资产收回的现金净额||115,700.00|161,737.31
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||270,353,451.41|183,232,617.04
购建固定资产、无形资产和其他长期资产支付的现金||202,856,384.74|29,116,708.77
投资支付的现金||147,348,619.00|300,143,116.87
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（七十六）|11,179.39|
投资活动现金流出小计||350,216,183.13|329,259,825.64
投资活动产生的现金流量净额||-79,862,731.72|-146,027,208.60
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||38,900,000.00|500,000.00
其中：子公司吸收少数股东投资收到的现金||38,900,000.00|500,000.00
取得借款收到的现金||200,806,303.95|251,315,548.19
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||239,706,303.95|251,815,548.19
偿还债务支付的现金||229,583,495.76|224,008,189.00
分配股利、利润或偿付利息支付的现金||38,359,345.98|47,709,224.58
其中：子公司支付给少数股东的股利、利润||1,600,000.00|3,977,263.36
支付其他与筹资活动有关的现金|（七十六）|750,000.00|13,764,150.94
筹资活动现金流出小计||268,692,841.74|285,481,564.52
筹资活动产生的现金流量净额||-28,986,537.79|-33,666,016.33
四、汇率变动对现金及现金等价物的影响||171,246.71|-639,148.20
五、现金及现金等价物净增加额||63,163,405.32|-302,685,157.54
加：期初现金及现金等价物余额||222,903,729.72|525,588,887.26
六、期末现金及现金等价物余额||286,067,135.04|222,903,729.72
