page|66
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,377,645,510.53|5,415,316,717.31
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
page|67
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||4,755,604.93|14,058,697.65
收到其他与经营活动有关的现金||85,298,960.33|75,312,241.69
经营活动现金流入小计||4,467,700,075.79|5,504,687,656.65
购买商品、接受劳务支付的现金||3,248,123,997.74|3,806,739,989.86
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||519,584,625.08|562,259,149.29
支付的各项税费||149,319,880.58|193,779,880.83
支付其他与经营活动有关的现金||67,874,902.01|167,400,201.59
经营活动现金流出小计||3,984,903,405.41|4,730,179,221.57
经营活动产生的现金流量净额||482,796,670.38|774,508,435.08
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||43,026,787.53|17,142,730.87
处置固定资产、无形资产和其他长期资产收回的现金净额||9,209,313.24|1,022,841.76
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||52,236,100.77|18,165,572.63
购建固定资产、无形资产和其他长期资产支付的现金||178,478,067.73|388,519,424.88
投资支付的现金|||4,900,000.00
质押贷款净增加额|||
page|68
取得子公司及其他营业单位支付的现金净额|79（2）|277,442,574.93|11,741,281.69
支付其他与投资活动有关的现金||478,217,172.30|930,800,000.00
投资活动现金流出小计||934,137,814.96|1,335,960,706.57
投资活动产生的现金流量净额||-881,901,714.19|-1,317,795,133.94
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||905,966,100.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||10,000,000.00|40,000,000.00
收到其他与筹资活动有关的现金||58,000,000.00|
筹资活动现金流入小计||68,000,000.00|945,966,100.00
偿还债务支付的现金||2,301,983.00|33,318,254.18
分配股利、利润或偿付利息支付的现金||233,489,831.80|135,946,894.42
其中：子公司支付给少数股东的股利、利润||15,540,000.00|28,392,000.00
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||235,791,814.80|169,265,148.60
筹资活动产生的现金流量净额||-167,791,814.80|776,700,951.40
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-566,896,858.61|233,414,252.54
加：期初现金及现金等价物余额||1,080,667,281.25|847,253,028.71
六、期末现金及现金等价物余额|79（4）|513,770,422.64|1,080,667,281.25
