page|59
项目|附注七|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|1|1,866,981,528.79|2,016,800,470.95
结算备付金|||
拆出资金|||
交易性金融资产|2||
衍生金融资产|3||
应收票据|4||
应收账款|5|66,339,299.42|170,692,253.78
应收款项融资|6||2,238,203.00
预付款项|7|189,104,150.92|217,969,885.53
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|122,871,145.03|38,048,310.41
其中：应收利息||27,498,211.09|3,357,500.00
应收股利||83,111,600.00|
买入返售金融资产|||
存货|9|94,534,027.72|351,726,779.13
合同资产|10|8,698,289.95|
持有待售资产|11||
一年内到期的非流动资产|12|726,189.85|777,727.63
其他流动资产|13|35,694,622.03|60,672,714.48
流动资产合计||2,384,949,253.71|2,858,926,344.91
非流动资产：|||
发放贷款和垫款|||
债权投资|14||
其他债权投资|15||
长期应收款|16|2,509,783.95|3,091,670.70
长期股权投资|17|384,962,252.75|268,003,026.23
其他权益工具投资|18|20,295,776.62|20,295,776.62
其他非流动金融资产|19||
投资性房地产|20|33,064,860.80|36,076,741.65
固定资产|21|2,815,303,415.44|2,658,056,871.39
在建工程|22|449,066,231.80|508,656,402.11
生产性生物资产|23||
油气资产|24||
使用权资产|25||
无形资产|26|456,148,366.35|273,719,115.08
开发支出|27||
商誉|28|66,603,043.61|13,332,948.49
page|60
长期待摊费用|29|12,883,945.13|18,906,592.69
递延所得税资产|30|8,852,454.23|16,655,767.60
其他非流动资产|31|15,274,807.25|19,346,653.81
非流动资产合计||4,264,964,937.93|3,836,141,566.37
资产总计||6,649,914,191.64|6,695,067,911.28
流动负债：|||
短期借款|32||40,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|33||
衍生金融负债|34||
应付票据|35|15,854,591.68|60,570,932.48
应付账款|36|1,217,759,727.54|1,256,577,972.66
预收款项|37||844,468,893.52
合同负债|38|774,505,767.92|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|39|181,077,331.71|181,257,590.97
应交税费|40|14,242,534.58|18,916,312.20
其他应付款|41|236,636,870.12|325,931,902.38
其中：应付利息||1,013,661.46|917,650.64
应付股利|||82,750,224.00
应付手续费及佣金|||
应付分保账款|||
持有待售负债|42||
一年内到期的非流动负债|43|227,601,591.69|2,533,674.75
其他流动负债|44||
流动负债合计||2,667,678,415.24|2,730,257,278.96
非流动负债：|||
保险合同准备金|||
长期借款|45|8,875,065.46|236,177,048.46
应付债券|46||
其中：优先股|||
永续债|||
租赁负债|47||
长期应付款|48|58,397,160.00|397,160.00
长期应付职工薪酬|49||
预计负债|50||
递延收益|51|117,680,098.19|116,495,279.01
递延所得税负债||58,138,818.41|17,369,976.80
其他非流动负债|52||
非流动负债合计||243,091,142.06|370,439,464.27
负债合计||2,910,769,557.30|3,100,696,743.23
所有者权益（或股东权益）：|||
实收资本（或股本）|53|888,890,000.00|888,890,000.00
其他权益工具|54||
page|61
其中：优先股|||
永续债|||
资本公积|55|1,327,920,340.88|1,327,920,340.88
减：库存股|56||
其他综合收益|57||
专项储备|58|10,630,666.85|6,778,583.80
盈余公积|59|205,351,344.49|154,011,468.46
一般风险准备|||
未分配利润|60|1,207,091,559.47|1,061,652,722.68
归属于母公司所有者权益（或股东权益）合计||3,639,883,911.69|3,439,253,115.82
少数股东权益||99,260,722.65|155,118,052.23
所有者权益（或股东权益）合计||3,739,144,634.34|3,594,371,168.05
负债和所有者权益（或股东权益）总计||6,649,914,191.64|6,695,067,911.28
