page|63
项目|附注七|2020 年度|2019 年度
一、营业总收入|61|4,167,991,295.15|4,818,531,347.54
其中：营业收入||4,167,991,295.15|4,818,531,347.54
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|61|3,807,106,735.27|4,330,605,895.55
其中：营业成本||3,425,461,006.99|3,804,627,547.08
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|21,054,548.36|22,193,950.68
销售费用|63|247,446,590.17|316,852,129.90
管理费用|64|155,860,063.43|168,055,365.45
研发费用|65|13,609,360.35|31,889,184.43
财务费用|66|-56,324,834.03|-13,012,281.99
其中：利息费用||950,158.48|2,388,961.71
利息收入||57,776,744.53|15,686,320.84
加：其他收益|67|23,132,370.17|29,284,661.23
投资收益（损失以“－”号填列）|68|92,340,630.19|44,226,844.22
其中：对联营企业和合营企业的投资收益||70,666,046.08|43,374,344.22
以摊余成本计量的金融资产终止确认收益|||
page|64
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|69||
公允价值变动收益（损失以“－”号填列）|70||
信用减值损失（损失以“-”号填列）|71|-3,352,699.49|-213,587.91
资产减值损失（损失以“-”号填列）|72||-3,613,141.18
资产处置收益（损失以“－”号填列）|73|-143,642.34|-900,479.88
三、营业利润（亏损以“－”号填列）||472,861,218.41|556,709,748.47
加：营业外收入|74|22,069,011.40|20,022,173.00
减：营业外支出|75|292,920.77|463,701.69
四、利润总额（亏损总额以“－”号填列）||494,637,309.04|576,268,219.78
减：所得税费用|76|60,389,065.37|78,396,006.71
五、净利润（净亏损以“－”号填列）||434,248,243.67|497,872,213.07
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||423,275,591.78|447,098,468.88
2.终止经营净利润（净亏损以“－”号填列）||10,972,651.89|50,773,744.19
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||414,112,317.82|451,161,320.70
2.少数股东损益（净亏损以“-”号填列）||20,135,925.85|46,710,892.37
六、其他综合收益的税后净额|77||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
page|65
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||434,248,243.67|497,872,213.07
（一）归属于母公司所有者的综合收益总额||414,112,317.82|451,161,320.70
（二）归属于少数股东的综合收益总额||20,135,925.85|46,710,892.37
八、每股收益：|||
（一）基本每股收益(元/股)||0.47|0.56
（二）稀释每股收益(元/股)||0.47|0.56
