page|117
项目|附注|本期发生额|上期发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,023,535,968.45|1,579,216,836.65
客户存款和同业存放款项净增加额|||-
向中央银行借款净增加额|||-
向其他金融机构拆入资金净增加额|||-
收到原保险合同保费取得的现金|||-
收到再保险业务现金净额|||-
保户储金及投资款净增加额|||-
收取利息、手续费及佣金的现金|||-
拆入资金净增加额|||-
回购业务资金净增加额|||-
代理买卖证券收到的现金净额|||-
收到的税费返还||3,200,767.43|7,010,106.22
收到其他与经营活动有关的现金||140,320,367.46|255,619,790.22
经营活动现金流入小计|五（五十九）|1,167,057,103.34|1,841,846,733.09
购买商品、接受劳务支付的现金||737,487,057.61|1,164,903,754.97
客户贷款及垫款净增加额|||-
存放中央银行和同业款项净增加额|||-
支付原保险合同赔付款项的现金|||-
为交易目的而持有的金融资产净增加额|||-
拆出资金净增加额|||-
支付利息、手续费及佣金的现金|||-
支付保单红利的现金||-|
支付给职工以及为职工支付的现金||189,057,245.43|209,312,583.56
支付的各项税费||82,597,869.35|103,751,205.81
支付其他与经营活动有关的现金||204,686,549.67|233,092,304.82
经营活动现金流出小计|五（五十九）|1,213,828,722.06|1,711,059,849.16
经营活动产生的现金流量净额||-46,771,618.72|130,786,883.93
二、投资活动产生的现金流量：|||-
收回投资收到的现金||29,070,000.00|53,623,258.69
取得投资收益收到的现金||6,591,501.61|1,838,558.21
page|118
处置固定资产、无形资产和其他长期资产收回的现金净额||10,050,810.91|15,098,708.03
处置子公司及其他营业单位收到的现金净额||38,389,775.35|
收到其他与投资活动有关的现金||3,822,046.84|2,860,986.02
投资活动现金流入小计|五（五十九）|87,924,134.71|73,421,510.95
购建固定资产、无形资产和其他长期资产支付的现金||50,351,132.89|65,371,143.04
投资支付的现金||154,610,000.00|178,936,420.31
质押贷款净增加额||-|
取得子公司及其他营业单位支付的现金净额||-|
支付其他与投资活动有关的现金||400,000.00|3,534,160.47
投资活动现金流出小计|五（五十九）|205,361,132.89|247,841,723.82
投资活动产生的现金流量净额||-117,436,998.18|-174,420,212.87
三、筹资活动产生的现金流量：|||-
吸收投资收到的现金||188,500,800.00|95,768,073.45
其中：子公司吸收少数股东投资收到的现金||188,500,800.00|95,768,073.45
取得借款收到的现金||629,732,970.00|1,134,821,831.40
发行债券收到的现金||-|
收到其他与筹资活动有关的现金||172,814,068.05|367,485,893.20
筹资活动现金流入小计|五（五十九）|991,047,838.05|1,598,075,798.05
偿还债务支付的现金||724,430,577.42|1,772,380,947.63
分配股利、利润或偿付利息支付的现金||73,345,828.79|111,106,869.69
其中：子公司支付给少数股东的股利、利润||10,233,050.08|980,000.00
支付其他与筹资活动有关的现金||29,979,131.52|147,105,072.32
筹资活动现金流出小计|五（五十九）|827,755,537.73|2,030,592,889.64
筹资活动产生的现金流量净额||163,292,300.32|-432,517,091.59
四、汇率变动对现金及现金等价物的影响||1,985,817.37|7,900,932.98
五、现金及现金等价物净增加额||1,069,500.79|-468,249,487.55
加：期初现金及现金等价物余额||270,916,608.98|739,166,096.53
六、期末现金及现金等价物余额||271,986,109.77|270,916,608.98
