page|113
项目|附注|本期发生额|上期发生额
一、营业总收入||1,064,171,650.10|1,488,450,311.14
其中：营业收入|五（四十四）|1,064,171,650.10|1,488,450,311.14
利息收入|||-
已赚保费|||-
手续费及佣金收入|||-
二、营业总成本||1,158,992,541.34|1,423,313,682.70
其中：营业成本|五（四十四）|822,420,036.32|1,113,785,015.58
利息支出|||-
手续费及佣金支出|||-
退保金|||-
赔付支出净额|||-
提取保险合同准备金净额|||-
保单红利支出|||-
分保费用|||-
税金及附加|五（四十五）|9,753,283.89|16,936,117.22
销售费用|五（四十六）|35,031,914.11|39,618,307.94
管理费用|五（四十七）|168,906,987.33|139,633,191.30
研发费用|五（四十八）|40,875,917.22|37,509,047.24
财务费用|五（四十九）|82,004,402.47|75,832,003.42
其中：利息费用||118,588,683.75|95,263,735.12
利息收入||39,804,730.87|46,235,906.94
加：其他收益|五（五十）|3,679,931.89|8,057,711.71
投资收益（损失以“－”号填列）|五（五十一）|-22,886,111.23|8,525,956.48
其中：对联营企业和合营企业的投资收益||-24,636,589.23|3,917,423.40
以摊余成本计量的金融资产终止确认收益（损失以“-”号填列）|||-
汇兑收益（损失以“-”号填列）|||-
净敞口套期收益（损失以“－”号填列）|||-
公允价值变动收益（损失以“－”号填列）|五（五十二）|-3,338,100.00|6,256,684.89
信用减值损失（损失以“-”号填列）|五（五十三）|-245,596,811.30|
资产减值损失（损失以“-”号填列）|五（五十四）|-820,932,757.45|-49,147,797.02
资产处置收益（损失以“-”号填列）|五（五十五）|1,431,294.37|1,184,432.72
三、营业利润（亏损以“－”号填列）||-1,182,463,444.96|40,013,617.22
加：营业外收入|五（五十六）|26,730,090.88|16,424,820.47
page|114
减：营业外支出|五（五十七）|13,782,515.97|553,743.75
四、利润总额（亏损总额以“－”号填列）||-1,169,515,870.05|55,884,693.94
减：所得税费用|五（五十八）|31,411,197.59|12,449,817.15
五、净利润（净亏损以“－”号填列）||-1,200,927,067.64|43,434,876.79
（一）按经营持续性分类|||-
1.持续经营净利润（净亏损以“－”号填列）||-1,200,927,067.64|43,434,876.79
2.终止经营净利润（净亏损以“－”号填列）|||-
（二）按所有权归属分类|||-
1.归属于母公司所有者的净利润||-1,207,531,281.10|26,195,080.58
2.少数股东损益||6,604,213.46|17,239,796.21
六、其他综合收益的税后净额||15,037,314.26|41,129,315.33
归属母公司所有者的其他综合收益的税后净额||14,757,609.41|40,181,739.42
（一）不能重分类进损益的其他综合收益|||-
1.重新计量设定受益计划变动额|||-
2.权益法下不能转损益的其他综合收益|||-
3.其他权益工具投资公允价值变动|||-
4.企业自身信用风险公允价值变动|||-
5.其他|||-
（二）将重分类进损益的其他综合收益||14,757,609.41|40,181,739.42
1.权益法下可转损益的其他综合收益||4,217,654.50|471,872.13
2.其他债权投资公允价值变动|||-       -
3.可供出售金融资产公允价值变动损益|||-       -
4.金融资产重分类计入其他综合收益的金额|||-       -
5.持有至到期投资重分类为可供出售金融资产损益|||-
6.其他债权投资信用减值准备|||-
7.现金流量套期储备|||-
8.外币财务报表折算差额||10,539,954.91|39,709,867.29
9.其他|||-
归属于少数股东的其他综合收益的税后净额||279,704.85|947,575.91
七、综合收益总额||-1,185,889,753.38|84,564,192.12
归属于母公司所有者的综合收益总额||-1,192,773,671.69|66,376,820.00
归属于少数股东的综合收益总额||6,883,918.31|18,187,372.12
八、每股收益：|||-
（一）基本每股收益||-1.70|0.04
（二）稀释每股收益||-1.70|0.04
