page|160
项目|附注|本年发生额|上年发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||83,503,340,788.69|68,169,017,614.45
收到的税费返还||4,683,092,023.52|3,274,552,890.75
收到其他与经营活动有关的现金|(五)59(1)|2,798,426,938.05|1,427,590,353.65
经营活动现金流入小计||90,984,859,750.26|72,871,160,858.85
购买商品、接受劳务支付的现金||53,662,747,197.88|37,257,220,824.09
支付给职工以及为职工支付的现金||12,868,949,235.34|10,247,824,582.96
支付的各项税费||6,447,300,353.27|4,901,863,280.18
支付其他与经营活动有关的现金|(五)59(2)|5,297,338,276.78|4,376,095,604.95
经营活动现金流出小计||78,276,335,063.27|56,783,004,292.18
经营活动产生的现金流量净额|(五)60(1)|12,708,524,686.99|16,088,156,566.67
二、投资活动产生的现金流量：|||
收回投资收到的现金||6,189,975,412.80|1,693,378,691.26
取得投资收益收到的现金||115,644,801.97|150,000,000.00
处置固定资产、无形资产和其他长期资产收回的现金净额||64,430,953.56|14,793,178.49
收到其他与投资活动有关的现金|(五)59(3)|-|46,196,873.80
投资活动现金流入小计||6,370,051,168.33|1,904,368,743.55
取得子公司及其他营业单位支付的现金净额|(五)60(2)|323,604,530.74|48,918,168.58
购建固定资产、无形资产和其他长期资产支付的现金||3,098,310,855.39|2,003,628,270.01
投资支付的现金||6,094,268,306.70|2,405,456,262.23
支付其他与投资活动有关的现金|(五)59(4)|10,196,658.79|1,000,000.00
投资活动现金流出小计||9,526,380,351.62|4,459,002,700.82
投资活动产生的现金流量净额||(3,156,329,183.29)|(2,554,633,957.27)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||207,702,900.00|173,897,986.67
其中：子公司吸收少数股东投资收到的现金||207,702,900.00|173,897,986.67
取得借款收到的现金||5,915,784,932.52|5,883,973,583.25
发行债券和短期融资券收到的现金||-|999,500,000.00
筹资活动现金流入小计||6,123,487,832.52|7,057,371,569.92
偿还债务支付的现金||7,758,027,348.85|4,834,813,277.12
分配股利、利润或偿付利息支付的现金||7,844,017,257.76|6,704,954,160.69
其中：子公司支付给少数股东的股利、利润||4,704,000.00|40,000,000.00
支付其他与筹资活动有关的现金|(五)59(5)|312,940,867.51|77,707,417.35
筹资活动现金流出小计||15,914,985,474.12|11,617,474,855.16
筹资活动产生的现金流量净额||(9,791,497,641.60)|(4,560,103,285.24)
四、汇率变动对现金及现金等价物的影响额||(181,591,311.21)|(464,249,454.25)
五、现金及现金等价物净(减少)增加额|(五)60(1)|(420,893,449.11)|8,509,169,869.91
加：年初现金及现金等价物余额|(五)60(1)|35,024,837,878.31|26,515,668,008.40
六、年末现金及现金等价物余额|(五)60(3)|34,603,944,429.20|35,024,837,878.31
